,Bowler,Matches,Runs,4,6,Wickets,Overs,balls
195,Mohammad Nabi,176,4978,321,153,200,1017.5,6107.0
196,KJ O'Brien,121,3138,315,61,132,554.5,3329.0
197,BJ McCarthy,21,974,106,29,39,134.2,806.0
198,PR Stirling,88,2019,126,55,64,384.3,2307.0
199,MJ Henry,65,3481,404,66,117,752.5,4517.0
200,R Tewatia,17,325,15,20,15,42.5,257.0
201,Swapnil Singh,5,89,1,6,1,8.3,51.0
202,S Ismail,94,2240,290,9,125,523.4,3142.0
203,M Kapp,82,1923,240,5,111,498.5,2993.0
204,R Ntozakhe,7,151,19,1,6,41.4,250.0
205,M Daniels,49,1015,127,5,37,256.4,1540.0
206,J Nkomo,22,389,51,2,23,106.1,637.0
207,N Mutasa,14,274,38,2,17,55.5,335.0
208,N Sibanda,5,58,6,1,4,14.4,88.0
209,P Marange,23,335,24,2,17,111.4,670.0
210,J Goswami,51,1270,161,8,75,338.0,2028.0
211,M Joshi,12,224,37,0,11,60.1,361.0
212,S Pandey,39,919,116,7,51,242.4,1456.0
213,E Bisht,36,992,93,6,64,301.5,1811.0
214,DB Sharma,36,901,79,11,52,260.1,1561.0
215,H Kaur,45,643,62,7,34,138.1,829.0
216,Rachel Delaney,5,148,15,3,5,36.0,216.0
217,AJ Kenealy,18,312,44,1,10,67.1,403.0
218,A Beggs,5,158,18,1,5,33.2,200.0
219,L Maritz,11,299,32,5,8,53.1,319.0
220,SM Kavanagh,5,123,16,1,4,20.0,120.0
221,GH Lewis,14,409,43,2,8,87.3,525.0
222,CR Brathwaite,80,2681,240,63,88,440.3,2643.0
223,Poonam Yadav,39,901,71,10,63,248.1,1489.0
224,M Klaas,28,725,92,7,31,163.5,983.0
225,S Luus,73,1669,162,20,72,342.0,2052.0
226,N de Klerk,12,253,37,2,15,49.2,296.0
227,E Mbofana,4,80,13,0,2,16.4,100.0
228,M Musonda,3,47,8,0,3,7.4,46.0
229,T Granger,16,265,26,1,17,73.4,442.0
230,L Tshuma,9,178,11,0,7,43.5,263.0
231,AC Mushangwe,7,53,4,0,13,23.2,140.0
232,LC Boylan,2,41,7,0,2,4.2,26.0
233,A Zampa,100,3049,164,110,123,484.1,2905.0
234,P Kumar,202,6653,746,141,224,1288.1,7729.0
235,MM Patel,136,4617,531,86,186,897.4,5386.0
236,TA Boult,161,9734,1226,109,376,2680.1,16081.0
237,TG Southee,255,14115,1730,196,482,3478.2,20870.0
238,R Vinay Kumar,143,4576,466,147,183,646.1,3877.0
239,L Little,11,232,29,3,2,32.1,193.0
240,L Paul,8,117,9,1,7,22.0,132.0
241,RS Gayakwad,23,607,47,11,49,160.2,962.0
242,SHA Rance,5,228,19,8,7,22.1,133.0
243,SC Kuggeleijn,9,253,28,9,10,29.4,178.0
244,JDS Neesham,91,2899,318,56,98,536.5,3221.0
245,C Munro,16,225,24,5,3,44.2,266.0
246,MJ Santner,88,3684,273,95,129,914.1,5485.0
247,IS Sodhi,62,3370,314,82,102,726.3,4359.0
248,Avesh Khan,8,253,22,18,5,23.2,140.0
249,HV Patel,41,1175,116,47,47,141.2,848.0
250,Hasan Ali,57,2249,234,50,92,359.5,2159.0
251,Asad Shafiq,8,102,6,2,1,20.2,122.0
252,CJ Jordan,112,4102,443,84,173,790.4,4744.0
253,HK Bennett,16,625,66,13,29,131.5,791.0
254,Mashrafe Mortaza,199,7564,804,133,243,1545.4,9274.0
255,Shakib Al Hasan,338,15044,1114,368,554,3675.0,22050.0
256,Mustafizur Rahman,91,3260,319,72,156,604.2,3626.0
257,Mehedi Hasan Miraz,28,2151,170,32,59,540.5,3245.0
258,Mahmudullah,188,5414,371,110,146,1206.2,7238.0
259,Mosaddek Hossain,40,842,52,20,19,160.0,960.0
260,Rubel Hossain,115,6078,703,65,151,1309.0,7854.0
261,Sunzamul Islam,1,21,1,0,2,1.0,6.0
262,CA Young,35,1154,128,32,56,203.3,1221.0
263,Simi Singh,4,90,4,1,4,11.0,66.0
264,S MacMahon,11,207,21,1,8,33.3,201.0
265,A Khaka,40,1092,136,4,52,288.0,1728.0
266,WD Parnell,131,4616,532,84,194,808.5,4853.0
267,AL Phehlukwayo,34,1205,129,22,40,204.4,1228.0
268,JP Duminy,242,5575,400,131,153,1150.1,6901.0
269,MM Ali,140,7847,691,165,201,1822.2,10934.0
270,D Pretorius,16,508,58,8,20,96.0,576.0
271,KA Maharaj,12,1473,171,26,41,437.2,2624.0
272,M Morkel,293,14403,1813,172,596,3823.0,22938.0
273,ST Finn,134,7446,991,70,277,1793.2,10760.0
274,TS Roland-Jones,13,318,35,8,18,40.4,244.0
275,Nasir Hossain,64,1511,108,31,39,352.4,2116.0
276,JS Patel,78,4660,406,114,126,1177.3,7065.0
277,Soumya Sarkar,23,545,55,10,12,97.2,584.0
278,Sabbir Rahman,28,355,34,5,9,60.0,360.0
279,JW Hastings,81,2713,270,61,118,471.4,2830.0
280,RAS Lakmal,113,6666,800,59,185,1731.0,10386.0
281,N Pradeep,59,4018,488,28,119,1015.3,6093.0
282,DAS Gunaratne,31,817,52,15,27,148.1,889.0
283,S Prasanna,61,2159,142,51,55,391.2,2348.0
284,JE Taylor,134,6456,761,81,244,1561.5,9371.0
285,KOK Williams,15,394,32,10,27,70.3,423.0
286,Shapoor Zadran,58,1646,185,38,64,293.1,1759.0
287,Amir Hamza,62,1640,119,45,67,332.2,1994.0
288,Karim Janat,18,466,42,16,20,61.1,367.0
289,Samiullah Shenwari,79,1535,112,34,58,291.1,1747.0
290,Dawlat Zadran,96,3403,384,75,143,636.3,3819.0
291,Gulbadin Naib,67,1771,162,41,58,307.2,1844.0
