,Bowler,Matches,Runs,4,6,Wickets,Overs,balls
484,PM Siddle,107,7621,994,42,267,2488.2,14930.0
485,JA Richardson,23,661,70,25,28,83.2,500.0
486,AC Agar,47,1285,73,40,42,234.3,1407.0
487,AJ Finch,34,400,22,18,12,54.1,325.0
488,M Labuschagne,7,110,5,6,2,22.2,134.0
489,BJ Dwarshuis,40,1089,103,39,47,148.3,891.0
490,WER Somerville,9,383,35,10,10,99.0,594.0
491,TS Rogers,4,137,12,6,4,13.0,78.0
492,GS Sandhu,44,1191,99,38,43,165.3,993.0
493,JA Burns,7,56,6,1,3,7.4,46.0
494,CJ Gannon,24,679,55,26,32,79.1,475.0
495,AC Voges,33,427,28,9,13,74.4,448.0
496,NJ Maddinson,5,59,7,1,0,8.1,49.0
497,L Bowe,9,238,17,12,8,26.1,157.0
498,MW Edwards,2,64,8,2,1,4.4,28.0
499,S Milenko,8,153,11,9,6,13.5,83.0
500,JS Paris,13,436,42,12,9,55.2,332.0
501,JR Coleman,9,156,16,5,8,20.4,124.0
502,HWR Cartwright,4,80,8,4,2,9.4,58.0
503,WG Bosisto,4,44,4,1,1,5.1,31.0
504,M Kelly,12,330,35,7,23,44.4,268.0
505,TT Bresnan,167,7573,871,101,267,1706.4,10240.0
506,JM Holland,16,625,54,19,15,122.5,737.0
507,DJ Worrall,20,679,72,28,18,85.2,512.0
508,D Fallins,2,42,3,2,0,2.4,16.0
509,JL Denly,16,275,21,9,5,47.4,286.0
510,JS Floros,15,254,21,11,3,30.0,180.0
511,CP Tremain,39,1221,111,41,40,170.3,1023.0
512,KA Pollard,213,4663,346,131,168,699.5,4199.0
513,WA Agar,5,148,20,3,2,13.3,81.0
514,BR Dunk,6,88,9,2,2,8.3,51.0
515,RP Meredith,15,448,51,15,18,58.1,349.0
516,JM Mennie,16,557,58,17,16,82.4,496.0
517,LN O'Connor,15,401,27,16,9,48.1,289.0
518,MW Short,8,114,6,3,3,12.3,75.0
519,JL Pattinson,57,3154,400,37,118,834.1,5005.0
520,Usman Shinwari,19,547,45,24,34,81.0,486.0
521,Usman Qadir,7,193,14,8,6,23.2,140.0
522,SL Rainbird,14,338,34,9,9,40.4,244.0
523,N McAndrew,6,97,11,3,2,9.1,55.0
524,AJ Turner,21,235,25,4,14,32.3,195.0
525,L Pope,6,150,12,4,3,16.0,96.0
526,C Valente,7,160,16,5,4,14.3,87.0
527,JD Cook,9,186,10,9,9,24.4,148.0
528,GA West,3,80,6,6,2,7.0,42.0
529,JJS Sangha,1,11,2,0,0,0.1,1.0
530,BAD Manenti,7,152,14,5,6,20.0,120.0
531,JS Lehmann,4,41,2,2,1,3.2,20.0
532,AM Hardie,2,38,4,1,2,3.1,19.0
533,AP Devcich,19,401,33,7,8,71.2,428.0
534,MT Renshaw,6,97,4,4,2,12.2,74.0
535,C Green,1,21,3,0,0,0.2,2.0
536,TL O'Connell,3,36,1,1,1,3.2,20.0
537,JA Prestwidge,5,123,12,3,3,15.5,95.0
538,DJM Moody,5,130,17,2,6,13.1,79.0
539,JA Freeman,2,37,3,2,1,2.2,14.0
540,MP Kuhnemann,3,67,7,1,2,7.0,42.0
541,CD Hinchliffe,3,61,4,1,1,4.5,29.0
542,Qais Ahmad,4,117,7,5,8,17.4,106.0
543,SE Rutherford,7,79,7,1,1,10.2,62.0
544,Harpreet Brar,2,48,3,3,0,3.2,20.0
545,Y Prithvi Raj,2,54,6,2,1,3.0,18.0
546,O Thomas,17,540,68,6,18,86.1,517.0
547,AS Roy,1,8,0,0,1,0.5,5.0
548,S Sandeep Warrier,3,84,8,3,2,8.5,53.0
549,J Suchith,14,387,31,16,12,42.5,257.0
550,AK Markram,4,92,8,2,1,11.4,70.0
551,MR Adair,29,1019,127,15,58,178.4,1072.0
552,J Little,8,347,37,7,7,44.3,267.0
553,WB Rankin,81,2658,296,37,110,582.1,3493.0
554,SS Cottrell,32,1258,131,26,42,231.3,1389.0
555,I Udana,29,915,78,19,36,148.5,893.0
556,BMAJ Mendis,63,1400,68,31,45,274.4,1648.0
557,Hamid Hassan,38,1093,131,7,59,212.1,1273.0
558,Mohammad Saifuddin,16,652,61,14,26,101.3,609.0
559,Aftab Alam,20,680,74,12,36,122.0,732.0
560,Rahmat Shah,16,329,32,7,12,64.1,385.0
561,KAJ Roach,131,7104,864,63,271,1946.2,11678.0
562,SACA King,24,351,38,3,12,72.5,437.0
563,CA Henry,10,193,27,2,6,26.0,156.0
564,KL Cross,22,689,94,3,22,173.4,1042.0
565,S Ecclestone,13,481,54,6,22,121.1,727.0
566,C Raack,10,154,11,3,7,28.0,168.0
567,KJ Garth,42,961,105,10,48,199.3,1197.0
568,AL Kerrison,2,39,1,3,0,2.3,15.0
569,K Ramharack,6,139,13,0,2,20.3,123.0
570,Shaheen Shah Afridi,16,680,63,25,32,100.1,601.0
571,TAM Siriwardana,31,774,58,25,28,148.3,891.0
572,BE Hendricks,14,401,46,12,19,49.1,295.0
573,BF Smith,1,19,0,0,1,1.3,9.0
574,DNA Ankrah,9,116,9,2,13,40.4,244.0
575,DK Anefie,4,71,8,0,0,10.3,63.0
576,V Ateak,10,219,14,7,17,73.2,440.0
577,IKO Aboagye,11,233,16,7,19,64.5,389.0
578,M Aboagye,3,43,2,2,2,12.0,72.0
579,KS Bagabena,7,125,8,5,5,25.5,155.0
580,Izatullah Dawlatzai,12,316,32,9,16,49.1,295.0
581,CAJ Meschede,15,281,25,7,16,42.1,253.0
582,Ahmed Wardak,6,101,5,2,12,19.3,117.0
583,Muslim Yar,4,81,7,3,5,8.3,51.0
584,Asad Mohammad,6,96,5,4,4,12.0,72.0
585,V Ganesan,1,10,0,0,2,0.2,2.0
586,ACF Stokes,4,91,8,3,4,11.1,67.0
587,W Peatfield,7,209,21,4,11,33.1,199.0
588,TCW Veillard,3,77,4,4,6,8.5,53.0
589,LC Le Tissier,7,172,10,3,15,33.1,199.0
590,DR Hooper,13,272,19,6,16,66.0,396.0
591,P Bhart,4,60,0,3,4,9.3,57.0
592,Junaid Sheikh,4,90,14,0,2,10.1,61.0
593,Hayatullah Niazi,3,55,7,1,2,5.4,34.0
594,S Waqas Ahmed,6,113,9,2,7,16.2,98.0
595,Raza Iqbal,5,130,5,3,9,27.3,165.0
596,Tafseer Ali,4,53,4,1,6,13.5,83.0
597,Delawar Khan,9,231,22,3,16,50.4,304.0
598,ND Laegsgaard,10,209,15,4,15,58.0,348.0
599,J Jojo,10,324,32,5,13,61.3,369.0
600,OD Hald,10,256,29,3,15,51.4,310.0
601,HAM Shah,24,548,38,19,19,101.0,606.0
602,SA Ahmad,9,219,10,9,8,39.5,239.0
603,Anique Uddin,6,128,15,1,3,29.0,174.0
604,Bashir Shah,24,575,52,15,43,133.3,801.0
605,WJR Robertson,1,6,1,0,1,0.3,3.0
606,AW Hawkins-Kay,23,584,63,12,24,124.0,744.0
607,DG Blampied,10,237,18,5,14,33.2,200.0
608,CW Perchard,25,569,33,11,34,127.5,767.0
609,B Ward,10,188,10,5,10,29.1,175.0
610,EJB Miles,8,122,11,0,10,18.4,112.0
611,Abdullah Sheikh,1,13,2,0,0,0.1,1.0
612,Walid Ghauri,2,29,1,2,1,3.2,20.0
613,J Sumerauer,4,76,8,4,4,7.5,47.0
614,BDH Stevens,23,587,45,13,29,125.2,752.0
615,GRD Munasinghe,22,649,70,11,36,127.1,763.0
616,NA Maiolo,4,87,8,1,4,13.1,79.0
617,Rakibul Hasan,4,94,3,5,5,10.4,64.0
618,Baljit Singh,4,93,3,4,6,13.0,78.0
619,Charanjeet Singh,7,177,8,6,8,37.0,222.0
620,MJ Ross,4,61,3,4,2,7.2,44.0
621,S Arachchige,2,26,1,1,2,2.2,14.0
622,MD Bimenyimana,5,78,7,0,10,16.5,101.0
623,M Vumiliya,6,62,5,0,4,15.0,90.0
624,J Nyirankundineza,6,116,15,0,8,20.0,120.0
625,V Iriho,5,76,5,2,3,15.2,92.0
626,Y Sangare,1,7,1,0,0,0.5,5.0
627,JL Martel,3,57,5,0,7,8.0,48.0
628,Sahir Naqash,3,31,2,1,1,3.0,18.0
629,Nazakat Ali,2,15,2,0,1,2.2,14.0
630,E Ul Haq,1,4,1,0,0,0.1,1.0
631,Abdul-Shakoor Rahimzei,3,44,1,2,5,5.2,32.0
632,Jaspreet Singh,1,26,1,1,1,0.3,3.0
633,Omar Hayat,4,77,5,2,1,16.2,98.0
634,FA Allen,8,247,21,6,5,31.4,190.0
635,LCN Smith,1,21,3,0,3,0.5,5.0
636,CAK Rajitha,11,411,45,15,11,47.2,284.0
637,JDF Vandersay,14,473,38,15,12,67.0,402.0
638,FDM Karunaratne,3,23,1,1,0,3.5,23.0
639,AD Mathews,296,7396,758,87,228,1737.3,10425.0
640,Sayed Shirzad,3,111,9,4,6,9.5,59.0
641,DM Kimmince,25,514,59,2,32,91.3,549.0
642,SC Getkate,10,285,20,10,11,39.0,234.0
643,KM Jarvis,50,2615,304,45,79,529.4,3178.0
644,H Masakadza,81,1636,138,29,38,384.3,2307.0
645,M Faheem,4,95,12,2,6,12.0,72.0
646,K Senamontree,2,28,6,0,0,1.2,8.0
647,Z Hoque,3,51,4,0,3,8.4,52.0
648,Vichanath Singh,4,88,3,5,3,13.0,78.0
649,DF Jacobs,2,26,2,1,4,1.4,10.0
650,N Pathan,4,58,12,0,2,5.3,33.0
651,C Pengkumta,4,52,7,0,0,6.0,36.0
652,S Saeed,6,96,12,0,6,26.0,156.0
653,Ibrahim Hassan,7,149,14,5,6,31.5,191.0
654,Umar Adam,4,82,5,5,8,8.5,53.0
655,Ameel Mauroof,2,28,3,1,0,2.2,14.0
656,WJ Malinda,1,26,1,2,1,0.5,5.0
657,MNR Cooray,3,72,3,2,3,8.5,53.0
658,Mohamed Mahfooz,9,235,14,13,11,37.5,227.0
659,EC Bargna,2,68,9,1,2,5.3,33.0
660,ST Frohnmayer,2,58,3,2,1,5.2,32.0
661,PA Wadenpohl,1,18,2,0,0,0.5,5.0
662,AM Healey,2,41,2,0,2,5.1,31.0
663,MS Beresford,1,24,3,1,0,0.4,4.0
664,CM Gough,2,69,3,3,6,5.0,30.0
665,KE Bryce,14,194,13,0,15,62.3,375.0
666,PA Chatterji,12,167,18,2,8,34.4,208.0
667,AH Maqsood,11,162,8,2,11,32.2,194.0
668,RV Scholes,18,323,26,1,14,91.1,547.0
669,K Fraser,11,160,13,0,16,33.2,200.0
670,K McGill,16,210,18,1,23,44.5,269.0
671,TE Kane,5,199,24,3,4,17.3,105.0
672,Rahat Ali,46,3166,407,24,96,846.5,5081.0
673,Faheem Ashraf,17,583,51,26,20,71.2,428.0
674,Haris Sohail,16,473,39,7,11,82.2,494.0
675,G Wareham,24,546,43,13,25,93.0,558.0
676,KL Gordon,9,324,35,3,20,69.0,414.0
677,GA Elwiss,18,359,42,3,19,96.3,579.0
678,S Molineux,12,342,33,7,13,43.2,260.0
679,TJ Vlaeminck,17,348,46,2,13,74.4,448.0
680,Yamin Ahmadzai,9,386,54,3,19,78.5,473.0
681,Wafadar Momand,1,54,8,0,0,2.5,17.0
682,Waqar Salamkheil,1,101,15,0,4,5.1,31.0
683,AR McBrine,39,1359,100,38,43,276.1,1657.0
684,J Cameron-Dow,1,114,16,0,4,4.3,27.0
685,A Balbirnie,3,50,7,2,1,5.1,31.0
686,GJ Delany,14,327,25,12,17,47.5,287.0
687,L Delany,28,491,44,4,21,78.1,469.0
688,Inam-ul-Haq,3,82,10,2,2,6.4,40.0
689,V Baskaran,17,400,35,13,13,78.5,473.0
690,Janak Prakash,13,306,31,5,18,46.0,276.0
691,Amjad Mahboob,37,1024,102,24,64,218.5,1313.0
692,S Vijayakumar,19,511,42,21,30,91.0,546.0
693,A Krishna,9,276,17,14,11,57.1,343.0
694,CR Suryawanshi,11,222,31,1,12,49.3,297.0
695,R Rohan,7,134,13,2,4,27.4,166.0
696,Muhammad Kashif,3,68,7,3,4,5.4,34.0
697,Ilyas Ahmed,3,84,15,1,2,6.1,37.0
698,Mohammad Ahsan,3,93,11,4,4,6.4,40.0
699,Nawaf Ahmed,1,16,2,0,0,0.2,2.0
700,MNM Aslam,3,46,2,2,2,6.2,38.0
701,Shiraz Khan,3,76,5,4,4,8.4,52.0
702,Syed Aziz,9,222,26,4,7,31.5,191.0
703,Pavandeep Singh,28,702,63,22,36,165.2,992.0
704,Fitri Sham,13,298,20,15,13,38.3,231.0
705,M Syahadat Ramli,9,155,7,8,12,21.1,127.0
706,S Muniandy,11,236,18,9,9,29.4,178.0
707,Anwar Rahman,12,239,14,7,13,56.3,339.0
708,Sompal Kami,45,1105,137,13,62,220.3,1323.0
709,Karan KC,25,601,59,21,39,101.1,607.0
710,LN Rajbanshi,6,127,7,6,3,16.2,98.0
711,B Regmi,60,1436,86,55,111,371.3,2229.0
712,P Khadka,59,1179,98,36,50,281.5,1691.0
713,NCK Liyanage,4,74,14,0,3,11.0,66.0
714,Virandeep Singh,15,297,18,15,8,43.1,259.0
715,P Sarraf,2,25,2,1,0,1.2,8.0
716,A Bohara,11,248,15,7,13,35.1,211.0
717,OP Stone,4,118,17,3,6,11.0,66.0
718,MJ Leach,5,335,37,3,12,102.2,614.0
719,Jandu Hamoud,2,40,5,1,2,3.1,19.0
720,Meet Bhavsar,1,11,2,0,0,0.1,1.0
721,Gayan Munaweera,6,289,36,5,16,50.2,302.0
722,Musawar Shah,5,116,13,1,2,32.5,197.0
723,S Vesawkar,4,88,4,6,2,12.3,75.0
724,Shafiul Islam,83,3506,419,48,109,719.4,4318.0
725,CBRLS Kumara,18,1288,145,16,33,268.0,1608.0
726,MK Villiers,1,20,1,1,2,0.4,4.0
727,CA Liyanage,1,14,1,1,0,0.1,1.0
728,S Hongsi,2,29,2,2,1,2.3,15.0
729,Md Shafiqul Haque,1,25,0,2,2,0.3,3.0
730,Taijul Islam,23,2237,177,46,61,679.4,4078.0
731,Nazril Rahman,13,273,25,9,14,49.1,295.0
732,Anowarul Islam,2,22,2,1,0,1.5,11.0
733,NA Janes,1,12,1,1,0,0.1,1.0
734,M McColl,5,61,6,0,4,9.3,57.0
735,S Haggo,8,85,6,0,6,19.1,115.0
736,IJR Zwilling,11,209,18,2,11,36.5,221.0
737,HWA Landheer,2,24,1,0,2,5.3,33.0
738,C de Lange,10,182,20,0,7,30.5,185.0
739,HDJ Siegers,11,190,19,3,16,39.3,237.0
740,S Siegers,9,220,26,1,6,29.4,178.0
741,SL Kalis,7,66,3,0,6,17.5,107.0
742,SR McAnanama-Brereton,1,32,2,2,0,1.0,6.0
743,JE Ronalds,1,16,1,0,0,0.5,5.0
744,AS van Beuge,7,121,13,1,9,22.2,134.0
745,GSNFG Jayasuriya,18,412,24,14,6,56.1,337.0
746,MD Shanaka,17,305,34,2,14,50.1,301.0
747,MS Wade,2,6,0,0,0,1.2,8.0
748,K Pierre,2,30,0,2,0,3.5,23.0
749,FJ Klaassen,14,372,31,13,15,56.5,341.0
750,BD Glover,17,368,38,8,27,66.3,399.0
751,PA van Meekeren,45,1206,126,27,57,249.4,1498.0
752,PM Seelaar,69,1526,98,47,63,274.3,1647.0
753,W Barresi,2,24,3,1,0,1.1,7.0
754,DI Dusabemungu,1,7,1,0,0,0.1,1.0
755,H Ishimwe,5,79,5,1,6,12.5,77.0
756,JM Apio,3,23,1,0,7,7.2,44.0
757,M Anyigo,1,4,0,0,3,1.0,6.0
758,S Kakai,1,9,1,0,2,0.4,4.0
759,S Nampiina,2,27,2,0,4,4.4,28.0
760,G Obukor,1,1,0,0,0,0.2,2.0
761,S Walaza,4,51,5,0,2,8.2,50.0
762,C Anayo,1,7,0,0,0,0.3,3.0
763,E Anyipo,1,11,1,0,1,1.0,6.0
764,I Nakisuuyi,4,73,4,1,7,13.1,79.0
765,R Musamali,3,55,8,0,1,9.4,58.0
766,P Alako,1,7,1,0,2,0.2,2.0
767,PZ Mamunya,3,34,4,0,6,9.0,54.0
768,NN Saidi,3,51,5,0,2,8.3,51.0
769,TS Omary,3,48,4,0,1,8.5,53.0
770,FO Kibasu,3,65,6,1,4,7.0,42.0
771,NO Tindo,3,67,5,1,3,7.0,42.0
772,W Kevin,1,8,0,0,1,0.2,2.0
773,EN Lynch,6,119,14,0,2,15.4,94.0
774,F Overdijk,3,84,10,2,1,6.2,38.0
775,O Prendergast,7,69,9,1,6,14.3,87.0
776,H Little,3,28,3,0,0,5.3,33.0
777,EAJ Richardson,18,352,32,3,23,64.1,385.0
778,C Sutthiruang,20,348,42,0,22,80.1,481.0
779,N Boochatham,20,319,20,3,25,89.0,534.0
780,S Laomi,18,284,15,1,19,72.5,437.0
781,R Padunglerd,14,190,20,1,24,42.5,257.0
782,S Tippoch,18,269,18,0,21,76.3,459.0
783,RK Willis,1,14,2,0,0,0.2,2.0
784,A Aitken,11,135,19,0,6,31.2,188.0
785,HRA Rainey,5,54,5,0,3,10.1,61.0
786,RS Glen,3,52,7,0,1,3.4,22.0
787,LK Bennett,8,151,12,0,11,27.0,162.0
788,O Kamchomphu,6,88,10,1,5,12.3,75.0
789,L Klokgieters,10,156,14,0,5,31.5,191.0
790,A Hogg,1,13,1,0,0,0.2,2.0
791,M Zwilling,1,7,0,0,3,0.3,3.0
792,Sultan Ahmed (2),9,159,14,2,5,25.0,150.0
793,Qadeer Ahmed,10,258,38,5,8,29.2,176.0
794,Ashfaq Ahmed,1,18,1,0,1,0.5,5.0
795,Ahmed Raza,49,1347,81,31,44,310.0,1860.0
796,Waheed Ahmed,10,196,5,8,7,24.0,144.0
797,VJ Kingma,12,445,59,4,17,113.4,682.0
798,HC Overdijk,1,10,1,0,1,0.3,3.0
799,TS Braat,2,42,6,0,1,3.0,18.0
800,PRP Boissevain,2,46,4,1,2,4.5,29.0
801,Sikander Zulfiqar,3,88,6,3,3,14.1,85.0
802,MP O'Dowd,9,207,19,8,3,30.0,180.0
803,Mohammad Naveed,47,1476,174,18,63,274.1,1645.0
804,Rohan Mustafa,57,1280,90,17,66,226.3,1359.0
805,Zahoor Khan,17,433,31,9,32,68.1,409.0
806,Saqib Zulfiqar,2,52,5,2,2,7.2,44.0
807,L Embuldeniya,2,336,28,7,6,46.5,281.0
808,AY Patel,2,242,25,2,9,43.3,261.0
809,Bilal Khan,32,836,96,12,56,144.5,869.0
810,Kaleemullah,9,210,18,4,3,30.5,185.0
811,Fayyaz Butt,15,386,38,7,12,61.0,366.0
812,Jay Odedra,3,90,3,4,6,13.0,78.0
813,Zeeshan Maqsood,51,1195,69,46,58,244.4,1468.0
814,Khawar Ali,37,907,49,24,57,164.5,989.0
815,Aqib Ilyas,9,135,7,3,8,30.0,180.0
816,N Pokana,20,507,37,11,33,110.1,661.0
817,N Vanua,45,1365,139,25,75,291.5,1751.0
818,D Ravu,11,193,18,5,13,34.1,205.0
819,CJA Amini,34,799,55,22,29,146.5,881.0
820,A Vala,37,783,46,21,43,168.2,1010.0
821,CA Soper,24,778,66,12,36,197.2,1184.0
822,Mohammad Nadeem,27,550,58,8,29,99.2,596.0
823,Aamir Kaleem,43,937,67,21,59,198.5,1193.0
824,A Neill,4,117,11,4,6,14.4,88.0
825,TB Sole,10,304,13,7,8,52.4,316.0
826,GT Main,3,58,10,0,2,5.5,35.0
827,Hamza Tahir,10,281,18,7,22,48.5,293.0
828,S Bau,18,327,27,5,7,65.5,395.0
829,L Siaka,13,197,18,2,10,53.0,318.0
830,AV Lalcheta,43,1171,135,26,56,255.5,1535.0
831,SN Netravalkar,10,176,20,3,5,36.5,221.0
832,Jasdeep Singh,9,228,24,8,12,38.3,231.0
833,Steven Ryan Taylor,16,334,21,8,15,83.4,502.0
834,TP Allen,17,444,49,8,17,87.5,527.0
835,HR Walsh,11,280,27,12,11,38.1,229.0
836,NK Patel,10,141,10,5,14,35.1,211.0
837,GH O'Brien,10,209,21,7,13,40.4,244.0
838,DMW Rawlins,20,538,46,13,11,105.0,630.0
839,JE Pitcher,3,47,3,3,2,5.0,30.0
840,RJ Trott,18,464,28,13,23,81.0,486.0
841,KS Leverock,18,399,44,7,17,60.2,362.0
842,MO Jones,25,613,69,8,26,118.4,712.0
843,C Wright,10,251,28,6,8,56.5,341.0
844,KR Ebanks,9,278,32,7,2,44.4,268.0
845,AF Ifill,6,146,6,14,5,16.4,100.0
846,T Taylor,8,227,30,5,11,41.0,246.0
847,A Morris,11,303,22,10,14,63.1,379.0
848,YSD Seneveratne,2,21,2,1,0,1.2,8.0
849,P Manning,4,50,3,1,2,7.4,46.0
850,Junaid Siddiqui,28,643,54,11,18,110.2,662.0
851,GDR Eranga,12,276,22,9,18,58.2,350.0
852,D Heyliger,14,421,42,15,23,67.3,405.0
853,Saad Bin Zafar,19,487,38,14,34,103.3,621.0
854,N Dutta,22,627,44,10,27,134.3,807.0
855,NS Dhaliwal,11,149,12,7,3,23.2,140.0
856,M Mooketsi,9,250,18,10,9,36.1,217.0
857,D Kegasitswe,3,148,11,11,3,9.5,59.0
858,R Nehonde,9,190,15,3,5,41.4,250.0
859,B Khumalo,3,89,8,4,1,8.5,53.0
860,D Maisuria,9,260,13,13,21,47.2,284.0
861,T Perera,2,36,3,2,0,2.2,14.0
862,Ameer Saiyed,5,110,6,5,1,16.4,100.0
863,HN Ya France,12,172,18,2,5,39.4,238.0
864,B Shikongo,10,119,9,0,7,21.4,130.0
865,MG Erasmus,13,220,11,3,13,47.0,282.0
866,CG Williams,23,444,27,13,28,92.3,555.0
867,N Shangase,7,135,18,1,5,23.1,139.0
868,Rameen Shamim,4,95,10,1,1,10.4,64.0
869,Aliya Riaz,21,403,49,5,11,80.1,481.0
870,Nida Dar,75,1532,126,25,82,294.4,1768.0
871,Fatima Sana,5,101,14,2,4,9.5,59.0
872,TS Sekhukhune,12,295,39,3,9,62.4,376.0
873,A Ndlovu,5,167,11,9,2,20.4,124.0
874,JD Campbell,1,20,1,0,0,1.0,6.0
875,MDK Perera,29,2694,223,36,96,799.2,4796.0
876,H Hiri,4,56,7,1,2,5.5,35.0
877,NR Kumar,18,416,33,11,20,71.2,428.0
878,DL Brangman,10,225,19,12,7,23.4,142.0
879,TK Patel,22,601,30,20,41,133.2,800.0
880,Aaron Jones,3,28,0,2,3,5.2,32.0
881,LHB Harrington-Myers,2,23,1,1,2,2.0,12.0
882,OGL Bascome,6,103,5,5,8,14.2,86.0
883,K Gore,8,173,11,6,18,42.5,257.0
884,Z McLaughlin,3,54,8,2,2,5.3,33.0
885,AC Douglas,8,110,9,3,9,14.0,84.0
886,MR Montfort,1,22,2,1,2,1.0,6.0
887,DC Stovell,24,615,52,15,27,109.3,657.0
888,A Rangaswamy,9,209,20,5,14,53.1,319.0
889,P Silas,1,21,0,3,0,0.1,1.0
890,Mohammad Hasnain,6,268,30,8,6,29.1,175.0
891,Abu Jayed,3,214,28,2,9,36.5,221.0
892,Amir Mangal,1,17,1,0,1,0.3,3.0
893,JWN Moses,6,93,7,1,7,20.3,123.0
894,N Master,5,86,5,2,7,30.4,184.0
895,K Modise,7,182,8,7,8,32.0,192.0
896,C Waiswa,10,196,18,9,10,29.2,176.0
897,F Nsubuga,23,578,53,13,29,136.5,821.0
898,E Isaneez,4,66,8,0,3,9.2,56.0
899,H Ssenyondo,19,530,48,8,20,121.0,726.0
900,D Muhumuza,10,136,10,4,1,27.0,162.0
901,DM Nakrani,4,93,9,2,6,11.1,67.0
902,Riazat Ali Shah,3,58,4,3,2,6.5,41.0
903,B Masaba,7,114,14,2,7,17.3,105.0
904,RG Mukasa,18,397,28,15,24,78.0,468.0
905,G Bakiweyem,8,175,16,5,17,50.5,305.0
906,JK Vifah,1,8,1,0,0,0.2,2.0
907,IO Okpe,14,309,31,9,15,63.2,380.0
908,Mohameed Taiwo,2,40,3,1,2,4.5,29.0
909,VD Adewoye,6,118,17,1,6,12.2,74.0
910,I Danladi,2,33,3,0,4,4.3,27.0
911,CM Akachukwu,11,230,21,6,10,32.1,193.0
912,SA Okpe,6,72,7,1,5,9.5,59.0
913,AM Oyede,5,95,6,1,1,17.4,106.0
914,R Olipa,1,7,0,1,0,0.2,2.0
915,SO Ngoche,45,1124,86,30,60,210.1,1261.0
916,E Otieno,41,1199,144,26,46,197.0,1182.0
917,LN Oluoch,20,409,42,15,20,74.0,444.0
918,NM Odhiambo,28,733,59,20,36,119.2,716.0
919,SR Bhudia,4,60,5,0,1,7.0,42.0
920,CO Obuya,34,593,46,10,34,108.4,652.0
921,GK Diviya,6,96,5,0,4,21.4,130.0
922,DH Sharma,1,28,2,0,2,1.0,6.0
923,T Wang Ling,2,34,5,0,0,2.1,13.0
924,Roshni Ramesh,3,35,4,0,0,5.5,35.0
925,Smruthi Radhakrishnan,6,155,20,0,5,21.2,128.0
926,Shafia Hassan,3,54,6,0,3,8.4,52.0
927,WA Duraisingam,7,119,2,0,4,24.5,149.0
928,Noor Hayati Zakaria,5,66,7,0,2,13.3,81.0
929,Nur Arianna Natsya,4,57,6,0,5,14.2,86.0
930,Wan Nor Zulaika,2,39,4,0,3,4.1,25.0
931,Nur Nadihirah,2,16,1,0,2,3.4,22.0
932,Christina Baret,2,15,1,0,0,2.0,12.0
933,Mas Elysa,3,35,2,1,3,7.3,45.0
934,Ainna Hamizah Hashim,3,37,4,0,4,7.4,46.0
935,C Overton,5,230,29,4,4,20.1,121.0
936,Mahewish Khan,2,30,2,1,4,3.5,23.0
937,A Perera,2,51,7,0,2,4.5,29.0
938,Saniyah Zia,4,58,8,0,4,11.1,67.0
939,Hiba Shamshad,2,23,2,0,1,4.3,27.0
940,KN Mirchandani,4,75,4,0,2,10.5,65.0
941,Hala Azmat,2,36,3,1,0,2.0,12.0
942,L Ramjit,6,70,4,1,7,16.0,96.0
943,C Beckford,4,48,7,0,5,8.2,50.0
944,S Farooq,6,63,5,1,1,14.0,84.0
945,OT Wallerson,5,64,6,0,6,15.0,90.0
946,S Ramautar,5,68,7,0,3,11.3,69.0
947,U Iftikhar,3,45,5,0,5,6.1,37.0
948,G Kodali,2,21,3,0,1,2.4,16.0
949,E Ochieng,5,95,11,2,1,10.4,64.0
950,P Kerai,4,74,5,4,4,6.3,39.0
951,T Tshose,8,200,21,1,10,43.1,259.0
952,A Nortje,3,206,28,3,1,50.0,300.0
953,BC Fortuin,2,50,3,2,3,3.5,23.0
954,RRS Cornwall,1,173,22,0,3,10.4,64.0
955,TD Astle,5,178,13,5,4,39.4,238.0
956,I Muhawenimana,2,30,3,0,2,2.1,13.0
957,D Igihozo,1,10,1,0,1,0.5,5.0
958,A Ikuzwe,1,18,2,0,0,0.5,5.0
959,T Abdulquadri,2,25,3,0,1,5.1,31.0
960,F Eseigbe,1,17,0,0,0,1.0,6.0
961,M Desmond,2,37,3,0,4,5.1,31.0
962,B Etim,3,51,5,0,4,8.1,49.0
963,R Samson,3,41,3,0,2,7.3,45.0
964,S Sunday,1,11,0,0,1,0.2,2.0
965,R Oa,18,301,36,0,24,79.0,474.0
966,NM Ambo,8,82,10,0,9,20.2,122.0
967,V Araa,8,83,5,1,1,15.2,92.0
968,M Tom,14,186,23,1,11,48.4,292.0
969,S Jimmy,18,257,24,0,18,70.0,420.0
970,K Oala,9,119,13,1,4,22.3,135.0
971,Jahanara Alam,40,662,82,3,41,166.4,1000.0
972,Salma Khatun,38,650,64,3,41,169.4,1018.0
973,Ritu Moni,13,117,12,0,11,28.1,169.0
974,Nahida Akter,16,276,24,2,27,58.0,348.0
975,Fahima Khatun,24,368,26,3,21,72.4,436.0
976,SA Wittmann,8,102,12,0,5,23.4,142.0
977,SN Shihepo,8,108,18,0,7,19.2,116.0
978,W Mwatile,6,81,10,0,5,18.1,109.0
979,I van Zyl,7,82,7,0,15,21.1,127.0
980,Yasmeen Khan,2,24,0,0,0,3.0,18.0
981,MP Enright,1,18,3,0,0,0.2,2.0
