,Batsmen,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score
918,HJ Jordaan,4,94,8,0,3,104,0,0,0,37
919,N Pathan,4,134,8,7,2,107,1,0,0,54
920,Z Hoque,3,46,4,2,3,32,0,0,0,20
921,Anowarul Islam,4,15,1,1,4,17,0,0,1,9
922,S Hongsi,3,27,3,1,0,16,0,0,0,11
923,SJ Bryce,18,367,44,3,14,391,2,0,2,65
924,KE Bryce,15,420,48,3,8,552,3,0,0,73
925,RS Glen,11,159,16,2,10,155,1,0,1,60
926,RK Willis,10,38,3,0,8,45,0,0,1,13
927,PA Chatterji,10,93,8,0,6,102,0,0,0,26
928,RV Scholes,15,186,15,2,12,317,0,0,3,35
929,L Jack,17,221,19,0,10,285,1,0,1,54
930,K McGill,9,52,4,0,5,109,0,0,1,12
931,CM Scott,1,3,0,0,0,2,0,0,0,3
932,JE Ronalds,2,17,1,0,2,37,0,0,0,11
933,ST Frohnmayer,2,17,1,0,2,46,0,0,0,9
934,K Vijayaraghavan,2,0,0,0,2,5,0,0,2,0
935,AM Healey,2,8,2,0,1,16,0,0,0,4
936,CM Gough,2,39,2,0,2,54,0,0,0,22
937,PA Wadenpohl,2,3,0,0,2,20,0,0,0,2
938,A Bierwisch,2,14,0,0,0,53,0,0,0,10
939,MS Beresford,1,2,0,0,1,11,0,0,0,2
940,Faheem Ashraf,13,235,20,8,7,234,2,0,1,83
941,Rahat Ali,25,144,19,3,12,392,0,0,9,35
942,TE Kane,3,42,4,0,2,115,0,0,0,26
943,G Wareham,7,33,4,0,3,38,0,0,4,19
944,S Molineux,10,150,24,0,10,185,1,0,2,62
945,GA Elwiss,16,265,30,0,10,429,2,0,1,77
946,SW Poynter,22,286,29,3,21,293,0,0,1,39
947,AR McBrine,30,348,29,6,19,472,2,0,2,79
948,J Cameron-Dow,1,41,5,0,0,69,0,0,0,41
949,Ihsanullah,4,100,11,2,3,257,1,0,1,72
950,Yamin Ahmadzai,6,14,0,1,4,55,0,0,3,9
951,Wafadar Momand,1,6,1,0,1,23,0,0,0,6
952,Waqar Salamkheil,1,1,0,0,0,4,0,0,0,1
953,TS Kamunhukamwe,1,0,0,0,1,1,0,0,1,0
954,SC Getkate,7,48,3,2,5,40,0,0,0,16
955,GJ Thompson,9,124,15,1,8,125,0,0,2,44
956,R Rohan,17,277,33,6,16,333,0,0,5,49
957,S Chandramohan,16,585,59,23,15,638,5,0,2,80
958,CR Suryawanshi,27,536,56,17,25,550,3,0,3,62
959,Janak Prakash,12,108,9,3,8,82,0,0,2,25
960,A Krishna,4,10,1,0,3,8,0,0,0,4
961,AE Paraam,17,392,32,10,14,564,2,0,2,95
962,Inam-ul-Haq,3,80,11,0,2,73,0,0,0,41
963,Faisal Javed,4,54,8,3,4,23,0,0,1,29
964,Muhammad Tanveer,4,61,6,3,4,54,0,0,0,26
965,Iqbal Hussain,9,125,14,2,5,108,0,0,0,39
966,Virandeep Singh,22,560,46,8,18,725,2,0,1,73
967,Anwar Arudin,34,651,72,28,33,724,4,0,3,69
968,Syed Aziz,17,390,44,12,16,319,2,0,2,87
969,Shafiq Sharif,38,550,71,8,34,585,1,0,7,59
970,Ahmed Faiz Mohammad Noor,41,1343,125,33,34,1562,10,3,3,111
971,Aminuddin Ramly,25,430,27,27,21,423,1,0,1,51
972,M Syahadat Ramli,14,163,14,6,11,156,0,0,0,41
973,S Muniandy,12,108,5,7,10,82,0,0,2,27
974,Fitri Sham,9,40,2,0,6,53,0,0,1,15
975,Anwar Rahman,7,22,2,0,4,59,0,0,1,8
976,Pavandeep Singh,10,13,0,0,4,79,0,0,4,5
977,R Sandaruwan,3,41,5,1,3,29,0,0,1,26
978,S Varathappan,1,9,2,0,1,10,0,0,0,9
979,Muhammad Kashif,3,143,6,11,2,102,1,0,0,51
980,Shiraz Khan,3,11,1,0,3,13,0,0,1,6
981,Bilal Tahir,3,20,1,1,3,14,0,0,1,13
982,MNM Aslam,3,29,3,0,3,28,0,0,1,23
983,Mohammad Ahsan,2,12,0,1,2,12,0,0,0,8
984,Ilyas Ahmed,2,2,0,0,1,2,0,0,0,1
985,NCK Liyanage,2,8,1,0,1,7,0,0,1,8
986,PS Airee,22,318,33,11,17,369,1,0,4,60
987,P Khadka,65,1680,158,59,49,1693,9,2,3,106
988,G Malla,56,1303,125,20,47,1564,5,0,4,91
989,RK Paudel,6,45,5,0,5,51,0,0,0,19
990,S Vesawkar,46,904,60,21,27,1264,2,0,3,74
991,P Sarraf,4,29,5,0,4,39,0,0,1,10
992,B Bhandari,48,658,47,31,35,659,3,0,4,58
993,Karan KC,15,107,6,6,10,80,0,0,4,31
994,Sompal Kami,25,241,17,8,16,255,0,0,1,40
995,RJ Burns,16,507,57,2,15,1023,4,1,0,144
996,OP Stone,1,19,4,0,1,27,0,0,0,19
997,MJ Leach,5,147,23,0,3,333,1,0,0,93
998,DS Airee,10,148,11,3,10,141,0,0,0,40
999,B Regmi,29,178,14,1,19,315,0,0,1,21
1000,A Bohara,4,5,0,0,3,11,0,0,2,3
1001,Meet Bhavsar,2,40,5,0,2,34,0,0,0,35
1002,Jandu Hamoud,1,2,0,0,1,3,0,0,0,2
1003,Shafiul Islam,47,336,42,5,33,611,1,0,11,81
1004,NA Janes,2,9,1,0,2,10,0,0,1,9
1005,C Pengkumta,3,25,2,0,1,30,0,0,0,18
1006,Mohamed Mahfooz,6,28,1,0,5,61,0,0,1,12
1007,Ibrahim Hassan,4,5,0,0,3,15,0,0,3,5
1008,Taijul Islam,20,266,36,1,18,585,0,0,2,39
1009,K Suttisan,2,4,1,0,2,2,0,0,1,4
1010,SL Kalis,14,400,34,6,10,491,1,1,0,126
1011,HDJ Siegers,15,171,15,3,12,162,0,0,1,29
1012,D Hannema,8,97,5,0,6,113,0,0,1,40
1013,M Veringmeier,15,274,28,1,13,300,1,0,0,53
1014,R Rijke,10,124,10,0,6,157,0,0,1,39
1015,B de Leede,13,156,9,1,9,223,0,0,0,50
1016,J Post,9,42,3,0,7,61,0,0,3,18
1017,HWA Landheer,1,1,0,0,0,1,0,0,0,1
1018,S Haggo,4,24,0,0,1,35,0,0,1,18
1019,V Stolle,1,3,0,0,1,3,0,0,0,3
1020,MD Shanaka,30,432,29,21,25,416,1,0,3,68
1021,GSNFG Jayasuriya,22,388,29,10,21,405,1,0,2,96
1022,Anamul Haque,48,1406,141,28,44,1902,7,2,6,120
1023,JD Campbell,4,227,22,6,4,223,1,1,1,179
1024,M McColl,2,11,0,0,1,19,0,0,0,7
1025,IJR Zwilling,6,34,4,0,3,45,0,0,1,16
1026,M Faheem,1,0,0,0,1,1,0,0,1,0
1027,TP Visee,19,256,36,9,17,199,1,0,3,68
1028,MP O'Dowd,33,785,75,14,27,777,5,0,1,86
1029,BN Cooper,58,1556,161,40,47,1616,9,1,4,225
1030,W Barresi,67,1527,156,34,57,1570,6,1,6,137
1031,Saqib Zulfiqar,3,32,1,0,2,35,0,0,1,18
1032,PM Seelaar,50,878,79,12,35,1144,3,1,5,167
1033,SA Edwards,15,238,19,4,10,182,0,0,1,44
1034,FJ Klaassen,5,28,0,0,4,33,0,0,1,13
1035,E Chigumbura,189,4092,323,112,157,4910,17,2,14,117
1036,D Busingye,5,112,8,0,3,146,1,0,2,65
1037,P Alako,2,13,2,0,2,26,0,0,0,7
1038,R Musamali,4,58,4,0,3,82,0,0,0,19
1039,E Iloku,2,69,5,0,0,62,0,0,0,38
1040,S Nampiina,4,60,6,1,3,57,0,0,0,25
1041,G Obukor,1,4,0,0,1,3,0,0,0,4
1042,JM Apio,2,8,0,0,2,11,0,0,1,8
1043,C Anayo,1,1,0,0,0,1,0,0,0,1
1044,V Iriho,4,28,1,0,4,53,0,0,0,15
1045,S Uwera,5,17,0,0,5,38,0,0,0,6
1046,G Ishimwe,5,38,2,0,5,65,0,0,2,19
1047,DI Dusabemungu,4,29,1,0,3,59,0,0,1,13
1048,H Ishimwe,5,88,9,0,4,82,0,0,1,48
1049,MD Bimenyimana,4,28,3,0,4,50,0,0,1,23
1050,C Uwamahoro,3,24,1,0,2,42,0,0,0,9
1051,A Ikuzwe,3,53,3,0,2,68,0,0,0,30
1052,M Vumiliya,4,26,3,0,1,31,0,0,0,11
1053,FO Kibasu,3,55,7,0,3,68,0,0,0,48
1054,M Pascal,3,58,8,0,3,60,1,0,1,53
1055,Hudaa Mohamedi,1,4,0,0,0,10,0,0,0,4
1056,NJ Pius,3,11,2,0,3,15,0,0,2,11
1057,PZ Mamunya,3,16,3,0,3,22,0,0,0,6
1058,TS Omary,3,17,2,0,3,36,0,0,0,10
1059,S Mtae,1,0,0,0,1,1,0,0,1,0
1060,NN Saidi,3,35,3,0,1,51,0,0,1,19
1061,SH Mohamedi,2,0,0,0,1,6,0,0,2,0
1062,W Kevin,1,4,1,0,1,5,0,0,0,4
1063,NO Tindo,1,1,0,0,0,1,0,0,0,1
1064,I Nakisuuyi,3,41,5,1,3,39,0,0,0,30
1065,S Walaza,2,3,0,0,1,5,0,0,0,2
1066,S Kakai,1,2,0,0,1,3,0,0,0,2
1067,M Kagoya,1,2,0,0,0,1,0,0,0,2
1068,O Prendergast,7,78,10,0,6,74,0,0,0,38
1069,EAJ Richardson,13,214,26,2,10,206,1,0,1,63
1070,FEM Van Arkel,1,3,0,0,1,12,0,0,0,3
1071,AH Thomson,5,13,0,0,5,31,0,0,1,5
1072,AS van Beuge,3,10,0,0,2,20,0,0,0,4
1073,EN Lynch,3,15,1,0,1,21,0,0,0,8
1074,N Chantam,17,143,18,1,16,219,0,0,0,24
1075,N Chaiwai,19,261,17,0,13,440,0,0,1,34
1076,N Koncharoenkai,12,194,19,0,10,284,1,0,0,57
1077,C Sutthiruang,17,169,18,0,16,211,0,0,3,35
1078,N Boochatham,21,261,21,2,14,535,0,0,2,50
1079,U Raymond-Hoey,6,29,0,0,6,61,0,0,1,17
1080,LK Bennett,3,8,1,0,1,13,0,0,1,6
1081,EL Watson,5,40,3,0,3,53,0,0,1,17
1082,S MacMahon,6,14,1,0,4,20,0,0,4,11
1083,S Tippoch,15,240,16,0,12,438,0,0,1,50
1084,R Padunglerd,10,57,3,1,7,126,0,0,1,15
1085,O Kamchomphu,6,21,2,0,3,29,0,0,2,13
1086,L Klokgieters,7,15,1,0,5,29,0,0,1,8
1087,S Siegers,4,13,2,0,3,14,0,0,1,8
1088,H Little,1,2,0,0,1,3,0,0,0,2
1089,W Liengprasert,7,39,2,0,4,61,0,0,2,22
1090,S Laomi,8,44,1,0,6,115,0,0,1,11
1091,M Zwilling,1,0,0,0,1,4,0,0,1,0
1092,SJ Myburgh,52,1265,145,39,47,1162,8,0,6,88
1093,AJ Staal,5,77,5,5,4,56,0,0,1,28
1094,Sikander Zulfiqar,3,43,3,0,3,51,0,0,0,20
1095,Ashfaq Ahmed,4,107,14,3,4,82,1,0,0,75
1096,Zawar Farid,3,61,4,3,3,46,1,0,0,55
1097,Ghulam Shabber,15,249,23,3,12,277,2,0,0,70
1098,Muhammad Usman,33,749,68,16,28,730,2,0,2,89
1099,DDP D'Silva,6,91,5,0,2,109,0,0,1,29
1100,TS Braat,1,5,1,0,1,3,0,0,0,5
1101,BD Glover,3,2,0,0,1,8,0,0,1,1
1102,PRP Boissevain,1,0,0,0,1,1,0,0,1,0
1103,VJ Kingma,4,7,0,0,1,27,0,0,1,5
1104,Rohan Mustafa,57,1106,115,26,53,1082,4,1,5,109
1105,Rameez Shahzad,23,527,43,13,19,546,1,0,3,54
1106,Mohammad Boota,6,37,2,1,4,43,0,0,1,16
1107,Waheed Ahmed,9,66,6,2,5,74,0,0,1,19
1108,JA Raval,9,530,66,0,8,1210,5,1,1,116
1109,BJ Watling,81,3496,392,9,63,7385,26,11,3,153
1110,WER Somerville,2,52,3,0,1,150,0,0,0,49
1111,AY Patel,1,14,1,0,1,23,0,0,0,14
1112,L Embuldeniya,2,10,2,0,2,27,0,0,0,5
1113,CBRLS Kumara,11,33,5,0,5,88,0,0,4,13
1114,TP Ura,43,991,106,27,37,1024,3,0,1,71
1115,G Toka,6,103,7,0,6,192,0,0,0,29
1116,A Vala,47,1471,121,24,42,1859,7,3,1,150
1117,L Siaka,40,706,63,16,40,805,2,0,5,70
1118,CJA Amini,34,491,35,5,26,580,1,0,4,53
1119,S Bau,31,784,56,19,26,1005,2,0,2,76
1120,K Doriga,15,180,11,3,12,240,0,0,0,43
1121,CA Soper,17,246,13,1,11,469,0,0,0,49
1122,N Vanua,33,363,17,20,23,359,1,0,7,54
1123,D Ravu,5,47,2,2,1,62,0,0,2,38
1124,Khawar Ali,45,844,89,16,43,1162,2,0,2,79
1125,Jatinder Singh,50,1368,118,21,42,1530,8,0,3,90
1126,Aqib Ilyas,22,585,61,7,17,581,4,0,1,63
1127,Zeeshan Maqsood,57,1145,140,23,51,1211,5,0,7,77
1128,Mohammad Nadeem,20,130,6,1,13,231,0,0,2,29
1129,Suraj Kumar,12,187,18,3,10,231,0,0,0,42
1130,Sandeep Goud,9,140,5,7,7,151,1,0,2,67
1131,Fayyaz Butt,6,62,3,2,3,66,0,0,1,32
1132,HG Munsey,35,879,101,38,30,665,5,1,4,127
1133,TB Sole,11,91,11,1,7,60,0,0,0,33
1134,A Neill,1,0,0,0,0,4,0,0,1,0
1135,N Pokana,8,53,3,1,2,80,0,0,0,11
1136,AV Lalcheta,30,397,34,7,24,543,1,0,3,62
1137,Aamir Kaleem,41,666,49,22,33,700,2,0,6,78
1138,Khurram Nawaz,12,154,5,5,7,171,0,0,0,26
1139,Bilal Khan,8,17,1,0,1,32,0,0,1,6
1140,O Bascome,10,139,11,8,10,129,0,0,1,37
1141,KS Leverock,25,505,43,25,21,492,1,1,3,137
1142,TS Fray,15,92,11,0,14,139,0,0,4,29
1143,DMW Rawlins,19,385,34,20,19,411,1,0,1,63
1144,AC Douglas,19,220,13,16,17,225,0,0,2,47
1145,OGL Bascome,11,117,14,3,11,131,0,0,0,22
1146,MO Jones,26,252,16,13,21,270,0,0,1,27
1147,DAP Darrell,9,75,1,5,7,83,0,0,1,30
1148,JE Pitcher,1,5,0,0,0,4,0,0,0,5
1149,XM Marshall,27,494,57,7,26,740,2,1,6,124
1150,JS Malhotra,8,97,11,2,7,106,0,0,1,38
1151,Steven Ryan Taylor,32,1021,101,45,30,930,5,2,4,162
1152,MD Patel,10,238,17,4,8,324,1,0,0,66
1153,Aaron Jones,9,168,7,4,8,242,1,0,0,77
1154,HR Walsh,8,133,10,3,8,139,0,0,0,28
1155,TP Allen,18,423,24,27,13,321,3,0,1,67
1156,NK Patel,15,186,20,8,14,212,0,0,3,42
1157,RA Thomas,12,204,19,8,11,234,2,0,2,62
1158,NS Dhaliwal,22,795,57,36,18,747,6,1,0,140
1159,NR Kumar,41,1057,86,23,37,1097,6,2,3,129
1160,Ravinderpal Singh,15,500,31,37,10,313,3,1,1,101
1161,Rizwan Cheema,44,632,60,33,42,517,2,0,9,76
1162,Hamza Tariq,31,390,34,18,27,396,2,0,9,71
1163,D Heyliger,9,64,2,4,4,45,0,0,2,23
1164,N Dutta,10,93,6,1,8,195,0,0,1,33
1165,C Hauptfleisch,5,69,4,2,5,86,0,0,1,42
1166,D Cato,5,57,4,0,5,130,0,0,0,20
1167,YSD Seneveratne,7,105,11,3,7,190,1,0,1,57
1168,OR Willis,7,35,2,1,7,73,0,0,1,15
1169,GM Strydom,11,164,12,7,10,217,0,0,2,49
1170,P Manning,6,56,4,0,5,88,0,0,1,28
1171,AF Ifill,6,37,2,1,5,55,0,0,0,9
1172,T Taylor,10,106,7,6,8,133,0,0,1,33
1173,C Wright,10,130,12,6,6,109,1,0,1,79
1174,K Birkenstock,6,167,17,4,6,224,2,0,1,61
1175,T Perera,10,144,16,2,10,228,0,0,1,32
1176,K Mothlhanka,7,115,11,2,7,123,1,0,0,59
1177,H Pragji,5,58,3,0,3,75,0,0,0,30
1178,Ameer Saiyed,5,71,4,0,4,132,0,0,0,32
1179,R Nehonde,12,130,6,1,10,241,0,0,1,34
1180,V Mbazo,3,51,3,0,2,68,0,0,0,27
1181,M Mooketsi,5,8,0,0,5,21,0,0,1,3
1182,P Silas,3,39,1,1,3,43,0,0,0,20
1183,D Kegasitswe,2,5,0,0,0,11,0,0,0,4
1184,Sidra Ameen,18,252,27,0,16,393,2,0,3,53
1185,Nida Dar,67,886,75,13,55,1016,3,0,4,87
1186,Aliya Riaz,24,360,36,7,19,491,1,0,1,71
1187,T Brits,7,137,16,1,6,140,1,0,1,70
1188,S Jafta,7,43,4,0,5,98,0,0,2,14
1189,Umaima Sohail,7,97,10,1,7,109,0,0,0,33
1190,BFW de Leede,4,52,1,2,4,65,0,0,0,30
1191,CA Pujara,79,4498,547,15,69,8889,32,17,4,247
1192,SSJ Brooks,2,63,10,0,2,158,0,0,0,50
1193,MDK Perera,29,611,75,11,28,1170,4,1,3,103
1194,H Hiri,8,88,6,0,5,135,0,0,1,31
1195,DL Brangman,4,25,2,1,2,25,0,0,2,23
1196,GH O'Brien,5,27,1,1,3,34,0,0,0,7
1197,A Gavde,1,1,0,0,1,5,0,0,0,1
1198,LHB Harrington-Myers,4,32,1,1,3,36,0,0,1,17
1199,A Morris,9,21,2,0,7,49,0,0,3,13
1200,TK Patel,16,154,13,0,7,270,0,0,1,50
1201,KR Ebanks,8,60,5,0,8,108,0,0,2,37
1202,RJ Trott,14,131,11,0,9,281,0,0,4,48
1203,Saad Bin Zafar,11,119,11,5,7,105,0,0,1,34
1204,S Sohal,22,391,35,19,20,323,2,0,3,62
1205,SN Netravalkar,5,39,3,1,2,65,0,0,0,12
1206,K Gore,5,60,6,1,4,101,0,0,0,31
1207,S Smith,3,19,1,0,0,31,0,0,0,7
1208,Z McLaughlin,2,6,0,0,0,16,0,0,0,4
1209,Abraash Khan,6,141,17,2,6,158,0,0,0,42
1210,H Thaker,5,75,6,1,4,106,0,0,1,27
1211,MR Montfort,1,1,0,0,0,2,0,0,0,1
1212,Junaid Siddiqui,17,147,4,6,12,190,0,0,1,28
1213,Jasdeep Singh,7,94,3,5,4,134,0,0,1,37
1214,DC Stovell,26,289,34,0,24,358,0,0,2,38
1215,JP Kotze,39,718,58,28,33,739,1,1,2,101
1216,HN Ya France,10,154,17,3,9,308,1,0,2,86
1217,T Lungameni,2,4,0,0,0,21,0,0,0,2
1218,D Maisuria,7,16,0,0,3,51,0,0,3,6
1219,B Khumalo,1,1,0,0,1,2,0,0,0,1
1220,L Louwrens,2,27,1,1,1,42,0,0,0,17
1221,Abid Ali,2,79,11,0,2,76,1,0,0,74
1222,Mohammad Hasnain,3,33,5,1,2,27,0,0,0,28
1223,Ahmed Wardak,1,1,0,0,1,2,0,0,0,1
1224,Z Arinaitwe,5,22,3,1,5,27,0,0,2,15
1225,HB Kayondo,11,199,10,6,11,306,0,0,1,36
1226,RG Mukasa,22,417,37,10,20,524,3,0,2,86
1227,A Otwani,5,89,13,1,5,78,0,0,1,44
1228,DM Nakrani,4,52,2,3,3,45,0,0,0,19
1229,Riazat Ali Shah,4,140,8,8,2,107,1,0,0,53
1230,D Muhumuza,13,144,7,4,10,215,0,0,1,28
1231,E Isaneez,2,8,0,0,0,13,0,0,0,7
1232,K Modise,10,150,15,8,10,189,0,0,1,36
1233,I Master,6,51,2,0,5,118,0,0,1,19
1234,V Balakrishnan,3,63,6,1,2,81,0,0,0,29
1235,JWN Moses,9,62,2,3,8,125,0,0,1,16
1236,A Rangaswamy,8,44,2,1,8,92,0,0,1,16
1237,N Master,7,78,5,1,5,97,0,0,0,21
1238,T Tshose,8,32,2,1,5,59,0,0,4,22
1239,JK Vifah,7,72,5,1,6,122,0,0,1,23
1240,KS Bagabena,5,54,3,0,2,67,0,0,1,23
1241,Ovais Yousof,2,38,3,0,2,57,0,0,0,33
1242,AJ Ayannaike,8,91,6,2,8,174,0,0,1,33
1243,I Danladi,2,37,4,1,2,37,0,0,1,37
1244,AA Onikoyi,10,159,11,7,9,166,0,0,1,49
1245,IO Okpe,14,99,4,0,10,161,0,0,1,15
1246,AM Oyede,9,57,2,0,9,113,0,0,2,39
1247,VD Adewoye,5,42,3,2,4,36,0,0,2,23
1248,CN Onwuzulike,15,184,13,6,14,210,0,0,3,46
1249,SA Okpe,6,25,1,0,5,42,0,0,0,12
1250,G Bakiweyem,3,31,1,0,2,35,0,0,0,15
1251,Z Abbasi,3,31,5,0,3,44,0,0,0,15
1252,T Phaswana,1,0,0,0,1,2,0,0,1,0
1253,DM Gondaria,13,209,14,4,12,201,1,0,0,85
1254,AA Obanda,46,999,116,18,44,1188,4,0,6,89
1255,IA Karim,32,1019,107,13,25,1222,9,1,2,108
1256,CO Obuya,70,1615,124,33,56,1922,8,0,2,98
1257,RR Patel,48,1201,83,57,38,1066,7,1,2,103
1258,SO Ngoche,31,258,15,11,18,247,1,0,7,56
1259,LN Oluoch,12,48,2,1,8,54,0,0,2,12
1260,SR Bhudia,3,4,0,0,2,15,0,0,1,3
1261,R Olipa,1,3,0,0,1,3,0,0,0,3
1262,F Nsubuga,22,194,10,8,16,309,0,0,3,31
1263,C Waiswa,8,76,5,3,3,70,0,0,0,21
1264,C Raack,1,9,1,0,0,8,0,0,0,9
1265,WA Duraisingam,8,192,21,0,4,200,1,0,1,66
1266,Yusrina Yaakop,4,11,1,0,4,38,0,0,0,5
1267,Mahirah Izzati Ismail,1,11,1,0,1,13,0,0,0,11
1268,Mas Elysa,3,111,13,0,2,124,0,0,0,38
1269,Wan Julia,2,26,3,0,2,34,0,0,0,15
1270,Christina Baret,6,79,3,0,5,128,0,0,0,27
1271,Ainna Hamizah Hashim,1,37,4,0,0,35,0,0,0,37
1272,Noor Hayati Zakaria,2,3,0,0,0,13,0,0,1,3
1273,Smruthi Radhakrishnan,3,6,0,0,0,25,0,0,0,3
1274,Samantha Singham,3,48,3,0,0,57,0,0,0,29
1275,V Pasupathy,2,6,0,0,2,15,0,0,1,6
1276,GK Diviya,6,129,10,0,4,166,0,0,0,45
1277,Shafina Mahesh,3,20,2,0,3,33,0,0,0,9
1278,PSR Gurusinghe,2,24,2,0,2,36,0,0,0,14
1279,Roshni Ramesh,2,6,1,0,1,7,0,0,0,5
1280,R Butler,3,58,6,1,1,61,0,0,0,35
1281,C Overton,3,31,2,0,1,124,0,0,0,26
1282,SK Chandhrasekar,5,57,3,0,4,107,0,0,0,32
1283,EH Rendler,6,61,6,2,6,62,0,0,0,35
1284,S Sriharsha,6,107,11,1,4,120,0,0,0,42
1285,S Bhaskar,6,92,11,0,5,100,0,0,1,30
1286,NT Gruny,6,47,4,0,5,88,0,0,0,33
1287,OT Wallerson,4,32,1,0,4,63,0,0,0,23
1288,S Ramautar,4,13,1,0,2,41,0,0,0,5
1289,M Patel,4,18,2,0,4,50,0,0,0,12
1290,A Perera,2,23,2,0,2,30,0,0,0,12
1291,M Khokhar,2,5,0,0,1,14,0,0,1,5
1292,KN Mirchandani,3,25,2,0,3,40,0,0,1,13
1293,Saniyah Zia,3,24,1,0,2,39,0,0,0,15
1294,Mahewish Khan,2,14,1,0,1,15,0,0,0,8
1295,C Martin,2,25,2,0,2,23,0,0,0,20
1296,Hala Azmat,2,3,0,0,0,24,0,0,0,2
1297,Hiba Shamshad,1,0,0,0,1,2,0,0,1,0
1298,Kainat Qazi,1,2,0,0,1,5,0,0,0,2
1299,Maliha Baig,1,0,0,0,1,1,0,0,1,0
1300,C Atkins,1,1,0,0,1,1,0,0,0,1
1301,U Iftikhar,2,10,0,1,1,12,0,0,0,7
1302,G Kodali,2,6,0,0,0,4,0,0,0,5
1303,V Ateak,6,31,3,0,5,45,0,0,1,24
1304,CM Akachukwu,7,24,0,1,4,32,0,0,1,8
1305,TL Seifert,8,141,10,7,8,113,0,0,0,45
1306,DJ Mitchell,6,69,1,4,4,57,0,0,0,30
1307,JN Hamilton,1,5,0,0,1,59,0,0,0,5
1308,RRS Cornwall,1,15,2,0,1,31,0,0,0,15
1309,J Blackwood,24,1177,140,23,22,2041,10,5,2,143
1310,TC Bruce,5,157,12,3,3,124,2,0,0,59
1311,HD Rutherford,39,1264,148,30,37,1701,9,1,2,171
1312,TD Astle,4,42,4,0,4,146,0,0,1,38
1313,SHA Rance,1,8,0,0,1,16,0,0,0,8
1314,OS Oyronke,2,2,0,0,2,11,0,0,1,2
1315,K Abdulquadri,1,3,0,0,1,8,0,0,0,3
1316,F Eseigbe,1,0,0,0,1,1,0,0,1,0
1317,B Etim,3,53,6,0,2,73,0,0,1,44
1318,S Sunday,1,45,5,0,1,50,0,0,0,45
1319,S Agazuma,3,31,1,0,1,51,0,0,0,28
1320,S Ingabire,1,13,0,0,1,23,0,0,0,13
1321,D Mukarurangwa,3,19,2,0,2,22,0,0,0,13
1322,Sanjida Islam,18,286,26,4,15,461,1,0,0,71
1323,Ayasha Rahman,25,430,40,3,22,624,1,0,0,70
1324,Nigar Sultana,23,376,28,1,15,645,0,0,2,41
1325,Ritu Moni,15,115,5,0,8,198,0,0,3,28
1326,Fargana Hoque,36,751,64,0,28,1144,4,0,3,67
1327,Shaila Sharmin,16,133,11,0,11,210,0,0,5,23
1328,Fahima Khatun,14,82,9,0,9,83,0,0,4,32
1329,Jahanara Alam,27,90,4,0,17,151,0,0,4,11
1330,Salma Khatun,28,319,27,1,23,504,0,0,2,32
1331,Nahida Akter,4,12,1,0,0,27,0,0,0,7
1332,S Jimmy,16,218,18,1,12,299,1,0,3,58
1333,N Vare,8,41,4,0,6,49,0,0,0,10
1334,K Oala,9,113,6,7,7,178,0,0,0,35
1335,T Ruma,18,285,22,3,14,429,1,0,2,66
1336,B Tau,13,250,28,0,8,411,0,0,0,46
1337,V Frank,9,52,4,0,7,117,0,0,1,13
1338,R Oa,9,17,1,0,8,35,0,0,3,5
1339,Adri van der Merwe,8,125,7,0,6,179,0,0,2,31
1340,KA Green,8,85,8,0,7,119,0,0,0,36
1341,SA Wittmann,7,95,9,1,7,124,0,0,1,25
1342,MP Enright,3,22,0,0,3,52,0,0,0,12
1343,Yasmeen Khan,6,77,6,0,6,126,0,0,0,16
1344,I van Zyl,7,53,1,0,3,101,0,0,1,20
1345,JA Diergaardt,6,58,8,0,5,78,0,0,3,33
1346,D Foerster,5,22,0,0,3,43,0,0,0,9
1347,W Mwatile,6,27,3,0,4,39,0,0,3,16
1348,SN Shihepo,4,4,0,0,3,13,0,0,2,3
1349,V Hamunyela,3,9,1,0,1,14,0,0,0,5
1350,K Arua,13,100,7,0,9,203,0,0,4,27
1351,L Ramjit,2,11,1,0,0,10,0,0,0,9
1352,AG Rao,1,1,0,0,1,3,0,0,0,1
1353,C Beckford,1,0,0,0,1,2,0,0,1,0
1354,S Farooq,1,1,0,0,0,2,0,0,0,1
1355,Murshida Khatun,3,72,7,0,3,80,0,0,0,33
1356,V Araa,3,6,0,0,2,15,0,0,1,5
1357,Reehana Khan,2,2,0,0,2,8,0,0,0,1
1358,I Toua,1,6,0,0,0,9,0,0,0,6
1359,N Ila,1,3,0,0,0,3,0,0,0,3
1360,C de Lange,1,0,0,0,1,1,0,0,1,0
1361,Ibrahim Zadran,5,124,9,5,4,307,1,1,0,108
1362,Qais Ahmad,1,23,3,0,1,39,0,0,0,23
1363,Zahir Khan,3,0,0,0,2,12,0,0,3,0
1364,Shadman Islam,2,53,5,0,2,162,0,0,0,41
1365,Mominul Haque,51,2390,284,5,43,4016,19,6,0,203
1366,Nayeem Hasan,1,8,1,0,0,19,0,0,0,8
1367,T Maruma,25,231,13,8,21,394,0,0,2,29
1368,CT Mutombodzi,21,235,16,5,16,262,0,0,2,32
1369,Afif Hossain,6,83,10,1,6,58,1,0,1,52
1370,Rahmanullah Gurbaz,7,227,19,13,7,167,2,0,2,79
1371,Najeeb Tarakai,15,290,25,12,14,258,1,0,1,90
