,Batsmen,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score
229,SR Watson,439,15338,1588,495,384,16989,109,24,25,213
230,DR Smith,197,4520,454,215,180,3715,27,0,22,97
231,PJ Sangwan,13,24,1,0,7,37,0,0,5,6
232,EC Joyce,80,2535,242,27,70,3538,17,4,4,160
233,PR Stirling,142,4222,498,108,135,3988,31,3,13,130
234,WTS Porterfield,150,3796,398,52,137,4855,23,5,11,127
235,A Balbirnie,62,1710,179,22,54,1988,10,2,4,135
236,NJ O'Brien,94,2217,172,32,83,3043,10,1,2,109
237,GC Wilson,126,2481,216,28,107,2994,13,0,10,80
238,KJ O'Brien,155,3615,332,98,132,3737,13,3,10,158
239,SR Thompson,35,519,48,14,28,594,2,0,1,56
240,GH Dockrell,64,590,41,7,38,865,1,0,4,64
241,TJ Murtagh,34,305,31,4,20,384,1,0,3,81
242,PKD Chase,12,31,2,1,9,47,0,0,6,14
243,JJ Roy,121,3909,458,99,113,3437,30,7,8,162
244,JE Root,195,10685,1057,69,162,15287,84,30,4,325
245,AD Hales,130,4179,470,98,121,4476,27,7,10,171
246,JM Bairstow,116,5012,545,81,97,7036,37,11,6,199
247,Shadab Khan,28,287,21,9,18,329,1,0,3,59
248,VR Aaron,20,92,7,2,8,176,0,0,4,17
249,SN Thakur,7,36,5,1,4,20,0,0,3,15
250,NV Ojha,98,1623,130,79,76,1436,7,0,9,94
251,Bipul Sharma,17,187,11,9,6,118,0,0,0,35
252,Rashid Khan,83,911,74,46,60,766,3,0,11,75
253,B Kumar,94,839,102,6,61,1394,2,1,18,121
254,S Kaul,7,12,0,0,3,26,0,0,3,7
255,Imran Ali Butt,1,0,0,0,1,3,0,0,1,0
256,Mohammed Sameer,1,19,1,2,1,15,0,0,0,19
257,J Chaturanga,4,131,9,6,4,175,1,0,0,88
258,Azeem ul Haq,4,38,2,0,4,81,0,0,1,20
259,GSPR Arachchige,1,1,0,0,1,1,0,0,0,1
260,Muhammad Rafeh,1,4,1,0,1,3,0,0,0,4
261,Tahir Dar,1,68,6,4,1,104,1,0,0,68
262,Muhammad Safdar,1,8,1,0,1,39,0,0,0,8
263,Junaid Aziz,1,27,2,1,1,65,0,0,0,27
264,Bilal Mansoor,1,5,0,0,1,14,0,0,0,5
265,Kumar Subba,3,5,0,0,3,24,0,0,2,5
266,T Wangchuk,5,11,1,0,4,41,0,0,2,7
267,K Norbu,1,11,0,0,1,62,0,0,0,11
268,T Jamtsho,5,106,10,2,4,169,0,0,1,42
269,S Tobgay,6,161,19,1,6,320,1,0,0,55
270,S Pradhan,7,48,5,0,7,111,0,0,2,31
271,DS Gurung,1,2,0,0,1,8,0,0,0,2
272,R Pradhan,1,0,0,0,1,3,0,0,1,0
273,K Ghalley,1,11,1,0,0,50,0,0,0,11
274,Tenzin Wangchuk jnr,1,14,1,0,1,25,0,0,0,14
275,T Singye,1,5,0,0,1,11,0,0,0,5
276,LMP Simmons,156,4467,413,139,138,5084,38,2,19,122
277,MN Samuels,245,8169,873,188,206,11750,57,17,11,260
278,PJ Cummins,56,553,44,17,38,739,0,0,7,39
279,Z Khan,109,1069,118,24,79,1757,3,0,14,57
280,V Shankar,29,602,40,24,18,475,2,0,0,63
281,AU Rashid,57,839,89,7,36,1306,3,0,2,69
282,DJ Willey,54,733,48,34,41,660,3,0,3,79
283,BJ McCarthy,16,98,9,0,12,164,0,0,3,18
284,Swapnil Singh,3,12,0,0,3,18,0,0,1,10
285,R Tewatia,11,102,10,3,5,81,0,0,0,24
286,M Mupachikwa,20,302,28,1,17,484,1,0,2,62
287,L Tshuma,13,118,19,0,13,312,0,0,3,25
288,CS Mugeri,19,361,33,2,15,543,1,0,1,51
289,M Musonda,19,286,33,2,15,461,1,0,3,65
290,P Mujaji,16,115,9,0,12,225,0,0,3,18
291,SM Mayers,21,430,38,6,18,539,2,0,2,65
292,P Marange,16,202,24,4,13,232,0,0,3,34
293,J Nkomo,17,208,18,0,9,398,0,0,0,27
294,T Granger,8,30,2,0,6,95,0,0,2,12
295,N Mutasa,9,20,2,0,3,62,0,0,2,9
296,N Sibanda,3,2,0,0,3,30,0,0,1,1
297,L Lee,90,2276,273,64,79,2222,14,1,12,103
298,L Wolvaardt,30,1041,131,0,21,1602,7,1,1,149
299,T Chetty,69,1687,158,3,60,2270,10,0,6,90
300,M du Preez,96,2267,221,12,79,2896,9,0,4,88
301,MV Waldron,40,475,54,0,33,757,1,0,3,55
302,L Paul,11,141,12,0,10,314,0,0,0,33
303,L Delany,36,504,39,1,32,865,0,0,2,50
304,GH Lewis,33,492,60,5,28,637,2,0,3,71
305,SM Kavanagh,20,157,14,0,17,273,1,0,3,53
306,J Gray,9,111,11,0,7,182,0,0,0,24
307,LC Boylan,3,36,5,0,2,55,0,0,0,25
308,Rachel Delaney,5,57,4,0,3,142,0,0,0,17
309,L Maritz,7,67,8,0,5,104,0,0,0,26
310,A Beggs,3,11,1,0,3,36,0,0,1,10
311,DB Sharma,29,703,79,5,21,1136,7,0,2,89
312,PG Raut,39,1165,130,3,33,1763,9,1,3,106
313,CR Brathwaite,65,1030,65,57,52,1049,4,1,3,101
314,M Kapp,74,1273,97,2,56,1500,6,0,4,72
315,S Luus,55,1027,96,9,37,1394,6,0,4,83
316,N de Klerk,12,148,17,1,9,165,0,0,2,37
317,S Ismail,45,290,26,1,33,497,0,0,7,34
318,M Klaas,14,46,4,0,10,100,0,0,6,15
319,M Daniels,13,48,4,0,2,93,0,0,2,11
320,R Ntozakhe,2,0,0,0,1,7,0,0,2,0
321,MR Meshram,19,405,46,5,14,654,3,0,1,78
322,M Raj,53,2088,226,6,36,2801,20,1,2,109
323,H Kaur,60,1361,128,22,45,1758,3,1,5,107
324,AJ Kenealy,12,63,6,2,11,106,0,0,3,20
325,AC Mushangwe,5,68,9,0,2,142,0,0,0,39
326,Tamim Iqbal,283,10783,1235,131,258,14962,83,22,19,231
327,Soumya Sarkar,80,2442,295,47,73,2753,16,3,8,127
328,Sabbir Rahman,88,2171,229,44,73,2370,11,1,6,104
