,Batsmen,clus,_c0,Matches,Runs,4,6,Wickets,Balls,50,100,0,High_Score,ave,sr,custom
397,Asghar Stanikzai,2,397,112,2567,174,88,104,3281,10,2,9,142,24.682692307692307,78.23834196891191,4.8473026516306
398,Samiullah Shenwari,1,398,100,2195,170,50,79,2740,8,0,2,96,27.78481012658228,80.1094890510949,3.5036496350364965
399,Karim Janat,0,399,12,154,11,6,9,163,0,0,0,26,17.11111111111111,94.47852760736197,1.9141104294478528
400,Mohammad Nabi,2,400,160,3139,196,136,136,3025,8,1,6,116,23.080882352941178,103.76859504132231,6.135537190082645
401,Shafiqullah,2,401,42,630,45,34,29,488,2,0,5,56,21.724137931034484,129.0983606557377,4.819672131147541
402,Najibullah Zadran,2,402,84,1888,149,83,62,1763,12,0,3,89,30.451612903225808,107.09018718094158,4.240499149177539
403,Amir Hamza,0,403,21,72,4,2,10,137,0,0,4,21,7.2,52.55474452554745,3.218978102189781
404,Shapoor Zadran,3,404,24,56,2,3,10,141,0,0,7,13,5.6,39.71631205673759,2.2127659574468086
405,CAK Walton,0,405,24,274,29,10,24,265,0,0,7,40,11.416666666666666,103.39622641509433,3.6226415094339623
406,E Lewis,2,406,62,1754,144,89,60,1674,11,2,6,148,29.233333333333334,104.778972520908,5.481481481481482
407,JN Mohammed,1,407,18,433,37,8,13,597,3,0,1,91,33.30769230769231,72.52931323283082,2.7437185929648242
408,R Powell,0,408,14,254,20,11,12,259,1,0,1,54,21.166666666666668,98.06949806949807,2.918918918918919
409,Noor Ali Zadran,0,409,56,1290,148,7,53,1696,6,0,5,67,24.339622641509433,76.06132075471697,2.2122641509433962
410,Dawlat Zadran,2,410,54,409,37,17,36,515,0,0,10,41,11.36111111111111,79.41747572815534,4.2990291262135925
411,Mohammad Hafeez,2,411,311,10447,1113,179,279,13318,71,20,21,224,37.44444444444444,78.4427091154828,5.230815437753416
412,Shoaib Malik,2,412,259,7053,612,128,204,8198,38,7,13,245,34.5735294117647,86.03317882410344,7.740302512808002
413,Imad Wasim,2,413,60,985,94,20,37,829,3,0,7,63,26.62162162162162,118.81785283474065,4.559710494571773
414,Rubel Hossain,0,414,63,345,41,5,32,655,0,0,13,45,10.78125,52.67175572519084,4.32824427480916
415,LE Plunkett,2,415,64,710,64,19,36,677,1,0,8,62,19.72222222222222,104.87444608567209,5.861152141802068
416,MA Wood,1,416,19,266,42,1,9,420,0,0,2,39,29.555555555555557,63.33333333333333,1.7642857142857142
417,TG Southee,2,417,154,2190,191,103,111,2231,6,0,18,82,19.72972972972973,98.16225907664725,5.66024204392649
418,Javed Ahmadi,0,418,26,532,64,6,25,712,4,0,3,81,21.28,74.71910112359551,2.957865168539326
419,Fakhar Zaman,2,419,44,1266,131,39,41,1122,9,2,6,138,30.878048780487806,112.83422459893049,5.411764705882353
420,MD Gunathilaka,2,420,37,1203,129,19,37,1289,10,2,1,133,32.513513513513516,93.32816136539954,3.817688130333592
421,AD Mathews,1,421,324,11356,1008,187,236,16352,78,20,18,248,48.11864406779661,69.44716242661448,4.913894324853229
422,A Zampa,0,422,35,154,12,3,22,186,0,0,7,17,7.0,82.79569892473118,3.1989247311827955
423,M Morkel,0,423,126,1175,157,15,85,1920,0,0,24,40,13.823529411764707,61.197916666666664,2.625
424,Imran Tahir,0,424,53,308,39,3,29,453,0,0,11,29,10.620689655172415,67.99116997792495,3.3929359823399556
425,Rahmat Shah,1,425,42,1659,152,18,38,2544,13,4,3,174,43.6578947368421,65.2122641509434,2.8726415094339623
426,Afsar Zazai,1,426,16,382,26,2,13,764,3,0,3,89,29.384615384615383,50.0,1.8638743455497382
427,JL Carter,0,427,28,581,48,10,22,822,2,0,1,54,26.40909090909091,70.68126520681265,1.8394160583941606
428,AR Nurse,2,428,19,238,23,5,14,230,0,0,1,44,17.0,103.47826086956522,3.634782608695652
429,ML Cummins,3,429,7,55,4,3,4,179,0,0,0,24,13.75,30.726256983240223,0.9385474860335196
430,DM de Silva,1,430,42,1470,167,7,36,2273,11,3,2,194,40.833333333333336,64.67223933128025,3.5846898372195337
431,NLTC Perera,2,431,190,2861,218,116,146,2371,8,0,15,80,19.595890410958905,120.66638549135386,6.410797132011809
432,Fahim Ashraf,0,432,1,15,1,1,0,15,0,0,0,15,0.0,100.0,1.0
433,Taskin Ahmed,0,433,19,116,6,3,13,250,0,0,4,41,8.923076923076923,46.400000000000006,3.116
434,R Ashwin,2,434,168,3091,317,29,116,4621,18,6,19,124,26.646551724137932,66.89028348842243,4.508115126595975
435,MH Cross,0,435,57,1189,117,27,49,1240,5,0,2,61,24.26530612244898,95.88709677419355,2.8040322580645163
436,KJ Coetzer,2,436,77,2591,289,59,71,2568,18,4,8,156,36.49295774647887,100.89563862928348,4.677570093457944
437,CS MacLeod,2,437,79,2035,194,39,73,1983,14,4,11,175,27.876712328767123,102.62228946041351,6.971759959657085
438,RD Berrington,2,438,75,1875,127,50,66,1960,9,2,4,110,28.40909090909091,95.66326530612244,4.209183673469388
439,CD Wallace,0,439,24,467,36,10,20,499,4,0,2,58,23.35,93.5871743486974,2.7895791583166334
440,PL Mommsen,1,440,40,1082,90,17,32,1188,7,1,3,111,33.8125,91.07744107744108,3.7373737373737375
441,CD de Lange,0,441,11,137,8,2,6,171,0,0,0,26,22.833333333333332,80.11695906432749,1.672514619883041
442,SJ Baard,1,442,43,1352,140,31,39,1285,13,0,2,97,34.666666666666664,105.21400778210118,3.2459143968871595
443,LP van der Westhuizen,2,443,11,188,17,6,11,158,0,0,1,50,17.09090909090909,118.9873417721519,3.481012658227848
444,CG Williams,2,444,41,861,62,23,31,835,4,1,3,109,27.774193548387096,103.11377245508982,5.3520958083832335
445,MG Erasmus,1,445,34,937,75,30,28,1008,8,0,1,91,33.464285714285715,92.95634920634922,3.0694444444444446
446,JN Frylinck,2,446,17,182,9,6,10,181,0,0,3,42,18.2,100.55248618784532,3.9447513812154695
447,C Viljoen,0,447,16,221,21,2,13,216,0,0,1,35,17.0,102.31481481481481,2.5925925925925926
448,SF Burger,1,448,26,629,45,11,20,953,2,0,0,61,31.45,66.00209863588667,1.664218258132214
449,ZE Green,0,449,22,342,29,7,18,525,1,0,1,61,19.0,65.14285714285715,2.5561904761904763
450,JJ Smit,2,450,31,485,25,26,21,447,1,0,2,59,23.095238095238095,108.50111856823266,4.091722595078299
451,Z Groenewald,2,451,11,79,5,2,7,99,0,0,0,42,11.285714285714286,79.7979797979798,4.666666666666667
