,Bowler,clus,_c0,Matches,Runs,4,6,Wickets,Overs,balls,ave,econ,sr
360,NR Sciver,0,360,66,1245,134,8,65,269.0,1614.0,19.153846153846153,4.628252788104089,24.83076923076923
361,D Hazell,0,361,60,1557,125,13,75,370.1,2221.0,20.76,4.206971088894893,29.613333333333333
362,JL Gunn,0,362,63,1614,147,16,92,412.0,2472.0,17.543478260869566,3.9174757281553396,26.869565217391305
363,A Hartley,0,363,11,347,33,3,14,82.5,497.0,24.785714285714285,4.206060606060606,35.5
364,HC Knight,0,364,44,1011,87,4,52,220.3,1323.0,19.442307692307693,4.589196550158874,25.442307692307693
365,D van Niekerk,2,365,76,1574,134,14,99,393.2,2360.0,15.8989898989899,4.003051881993897,23.838383838383837
366,CL Tryon,0,366,36,707,93,3,17,139.5,839.0,41.588235294117645,5.068100358422939,49.35294117647059
367,Asmavia Iqbal,0,367,61,1508,170,22,72,289.2,1736.0,20.944444444444443,5.214384508990318,24.11111111111111
368,Sadia Yousuf,0,368,55,1429,110,17,72,288.5,1733.0,19.84722222222222,4.953206239168111,24.069444444444443
369,Sana Mir,0,369,82,2093,178,15,92,452.1,2713.0,22.75,4.629506746295068,29.48913043478261
370,Nashra Sandhu,0,370,19,615,67,9,28,140.0,840.0,21.964285714285715,4.392857142857143,30.0
371,Kainat Imtiaz,0,371,10,273,34,4,5,39.0,234.0,54.6,7.0,46.8
372,Bismah Maroof,0,372,55,702,43,8,37,148.5,893.0,18.972972972972972,4.7272727272727275,24.135135135135137
373,JL Jonassen,0,373,94,2233,217,15,129,555.0,3330.0,17.310077519379846,4.023423423423424,25.813953488372093
374,ML Schutt,0,374,72,1759,199,11,97,426.2,2558.0,18.1340206185567,4.127170342562177,26.371134020618555
375,EA Perry,0,375,94,2334,278,12,118,567.2,3404.0,19.779661016949152,4.114950634696756,28.847457627118644
376,KM Beams,0,376,42,1063,68,15,57,253.4,1522.0,18.649122807017545,4.194948697711129,26.70175438596491
377,A Gardner,0,377,31,743,68,5,32,176.4,1060.0,23.21875,4.212018140589569,33.125
378,EJ Villani,0,378,9,173,17,2,5,33.1,199.0,34.6,5.226586102719033,39.8
379,SC Selman,0,379,36,691,90,5,21,139.3,837.0,32.904761904761905,4.960516870064608,39.857142857142854
380,SS Connell,0,380,25,547,76,2,11,95.3,573.0,49.72727272727273,5.739769150052466,52.09090909090909
381,SR Taylor,0,381,51,1235,111,7,55,277.4,1666.0,22.454545454545453,4.452054794520548,30.29090909090909
382,SF Daley,2,382,35,788,89,4,41,154.5,929.0,19.21951219512195,5.100323624595469,22.658536585365855
383,A Mohammed,0,383,57,1391,109,17,59,277.0,1662.0,23.576271186440678,5.021660649819495,28.16949152542373
384,DJS Dottin,2,384,34,686,80,5,43,152.5,917.0,15.953488372093023,4.498360655737705,21.325581395348838
385,HK Matthews,2,385,35,844,82,12,45,162.4,976.0,18.755555555555556,5.197044334975369,21.68888888888889
386,ASS Fletcher,2,386,34,753,68,8,41,156.2,938.0,18.365853658536587,4.820742637644046,22.878048780487806
387,Nahida Khan,1,387,1,12,0,0,0,0.2,2.0,0.0,60.0,0.0
388,MR Meshram,2,388,6,76,6,0,0,17.0,102.0,0.0,4.470588235294118,0.0
389,CN Nation,2,389,3,53,5,1,3,8.2,50.0,17.666666666666668,6.463414634146342,16.666666666666668
390,B Vakarewa,2,390,9,200,27,0,11,34.4,208.0,18.181818181818183,5.813953488372094,18.90909090909091
391,NE Bolton,0,391,10,205,23,4,6,26.3,159.0,34.166666666666664,7.7946768060836495,26.5
392,DT Tiripano,0,392,30,1234,138,13,37,296.5,1781.0,33.351351351351354,4.161888701517706,48.13513513513514
393,A Dananjaya,0,393,14,584,36,19,30,123.5,743.0,19.466666666666665,4.728744939271255,24.766666666666666
394,MA Aponso,0,394,6,249,27,2,7,45.5,275.0,35.57142857142857,5.472527472527473,39.285714285714285
395,LD Madushanka,0,395,5,202,16,5,4,27.2,164.0,50.5,7.426470588235294,41.0
396,LA Marsh,0,396,54,1709,168,8,74,451.5,2711.0,23.094594594594593,3.7851605758582503,36.63513513513514
397,KADA Kanchana,0,397,20,490,64,4,12,76.2,458.0,40.833333333333336,6.430446194225722,38.166666666666664
398,OU Ranasinghe,0,398,18,422,40,7,13,57.2,344.0,32.46153846153846,7.3776223776223775,26.46153846153846
399,H Madavi,2,399,2,19,1,1,0,1.3,9.0,0.0,14.615384615384615,0.0
400,A Wellington,2,400,17,482,44,5,26,81.5,491.0,18.53846153846154,5.914110429447852,18.884615384615383
401,Diana Baig,0,401,7,231,34,1,8,44.2,266.0,28.875,5.226244343891403,33.25
402,Q Joseph,0,402,2,42,6,0,1,6.2,38.0,42.0,6.774193548387097,38.0
403,PVD Chameera,0,403,32,1445,167,23,46,298.0,1788.0,31.41304347826087,4.848993288590604,38.869565217391305
404,PADLR Sandakan,0,404,26,1228,99,13,36,260.2,1562.0,34.111111111111114,4.719446579554189,43.388888888888886
405,PWH de Silva,2,405,15,477,41,14,26,70.2,422.0,18.346153846153847,6.794871794871795,16.23076923076923
406,LM Kasperek,2,406,14,355,29,4,28,84.0,504.0,12.678571428571429,4.226190476190476,18.0
407,AK Peters,0,407,3,38,6,0,1,8.5,53.0,38.0,4.470588235294118,53.0
408,Marina Iqbal,0,408,6,94,9,3,2,9.1,55.0,47.0,10.32967032967033,27.5
409,SE Aley,2,409,9,182,16,3,13,28.5,173.0,14.0,6.385964912280702,13.307692307692308
410,CT Mumba,0,410,4,363,56,0,8,83.3,501.0,45.375,4.357743097238895,62.625
411,MN Waller,0,411,32,689,39,14,18,162.4,976.0,38.27777777777778,4.2426108374384235,54.22222222222222
412,VD Philander,0,412,80,4786,573,47,213,1642.4,9856.0,22.469483568075116,2.914028251339503,46.27230046948357
413,TB de Bruyn,1,413,1,30,4,0,0,0.5,5.0,0.0,60.0,0.0
414,T Bavuma,0,414,4,49,4,0,1,11.1,67.0,49.0,4.414414414414415,67.0
415,JM Anderson,0,415,267,17146,2212,122,656,5168.4,31012.0,26.13719512195122,3.317467688259423,47.27439024390244
416,SCJ Broad,0,416,289,17760,2262,168,681,4949.4,29698.0,26.079295154185022,3.5883137349981817,43.609397944199706
417,HM Rowe,0,417,8,168,20,0,9,45.5,275.0,18.666666666666668,3.6923076923076925,30.555555555555557
418,AM Fernando,1,418,1,22,3,1,0,0.2,2.0,0.0,110.0,0.0
419,KMDN Kulasekara,0,419,254,9419,1074,126,341,2076.3,12459.0,27.621700879765395,4.536435004575447,36.5366568914956
420,RL Haynes,0,420,6,84,14,0,2,8.4,52.0,42.0,10.0,26.0
421,Javeria Khan,0,421,9,152,17,0,5,33.4,202.0,30.4,4.550898203592815,40.4
422,K Gowtham,0,422,21,463,47,15,13,59.1,355.0,35.61538461538461,7.834179357021997,27.307692307692307
423,B Stanlake,0,423,38,1063,125,33,42,149.2,896.0,25.30952380952381,7.124664879356569,21.333333333333332
424,BCJ Cutting,0,424,85,2227,195,63,73,284.5,1709.0,30.506849315068493,7.827768014059754,23.410958904109588
425,M Markande,0,425,16,399,36,18,13,43.3,261.0,30.692307692307693,9.214780600461895,20.076923076923077
426,K Khejroliya,0,426,4,117,7,9,3,9.0,54.0,39.0,13.0,18.0
427,Mujeeb Ur Rahman,0,427,46,1270,95,39,50,233.3,1401.0,25.4,5.443634804972139,28.02
428,AD Russell,0,428,172,4956,493,165,187,753.3,4521.0,26.502673796791445,6.57905217045002,24.176470588235293
429,Shivam Mavi,0,429,9,258,22,16,7,29.0,174.0,36.857142857142854,8.89655172413793,24.857142857142858
430,S Gopal,2,430,29,715,37,39,39,92.3,555.0,18.333333333333332,7.746478873239437,14.23076923076923
