Batsmen,id
K Abdulquadri,1315
F Eseigbe,1316
B Etim,1317
S Sunday,1318
S Agazuma,1319
S Ingabire,1320
D Mukarurangwa,1321
Sanjida Islam,1322
Ayasha Rahman,1323
Nigar Sultana,1324
Ritu Moni,1325
Fargana Hoque,1326
Shaila Sharmin,1327
Fahima Khatun,1328
Jahanara Alam,1329
Salma Khatun,1330
Nahida Akter,1331
S Jimmy,1332
N Vare,1333
K Oala,1334
T Ruma,1335
B Tau,1336
V Frank,1337
R Oa,1338
Adri van der Merwe,1339
KA Green,1340
SA Wittmann,1341
MP Enright,1342
Yasmeen Khan,1343
I van Zyl,1344
JA Diergaardt,1345
D Foerster,1346
W Mwatile,1347
SN Shihepo,1348
V Hamunyela,1349
K Arua,1350
L Ramjit,1351
AG Rao,1352
C Beckford,1353
S Farooq,1354
Murshida Khatun,1355
V Araa,1356
Reehana Khan,1357
I Toua,1358
N Ila,1359
C de Lange,1360
Ibrahim Zadran,1361
Qais Ahmad,1362
Zahir Khan,1363
Shadman Islam,1364
Mominul Haque,1365
Nayeem Hasan,1366
T Maruma,1367
CT Mutombodzi,1368
Afif Hossain,1369
Rahmanullah Gurbaz,1370
Najeeb Tarakai,1371
RW Chakabva,1372
N Madziva,1373
Nazmul Hossain Shanto,1374
A Ndlovu,1375
Fazal Niazai,1376
A Kitayama,1377
Erika Oda,1378
M Kanno,1379
A Kanada,1380
M Yanagida,1381
S Miyaji,1382
R Endo,1383
A Kano,1384
R Kanai,1385
Su Jin Kim,1386
Mina Baek,1387
Seri Chang,1388
Seungmin Song,1389
Jiyeon Park,1390
Haliam Kwon,1391
Hyejin Park,1392
Kang Choi,1393
Bella Poon,1394
Y Daswani,1395
YS To,1396
KY Chan,1397
M Hill,1398
Shanzeen Shahzad,1399
Sun Meng Yao,1400
Zhang Mei,1401
