Batsmen,Matches,Runs,Wickets,Balls,0,4,6,Strike Rate,Average,50,100,High Score
SM Katich,85,4304,73,7573,5,481,25,56.83348738940975,58.95890410958904,35,17,194
MEK Hussey,312,12474,245,17245,6,1109,192,72.33400985792983,50.91428571428571,100,19,211
PD Collingwood,193,6311,160,9264,10,526,107,68.12392055267703,39.44375,45,11,170
MR Marsh,120,3098,90,3681,8,254,99,84.16191252377071,34.422222222222224,18,2,134
L Ronchi,124,2721,105,2355,14,292,96,115.54140127388536,25.914285714285715,15,3,170
GB Hogg,42,486,25,624,4,32,8,77.88461538461539,19.44,1,0,80
NJ Rimmington,18,125,10,130,2,5,4,96.15384615384616,12.5,0,0,26
MA Beer,12,31,5,61,1,1,0,50.81967213114754,6.2,0,0,7
MG Neser,33,340,20,276,2,24,11,123.18840579710145,17.0,0,0,40
RJ Harris,59,799,35,1150,4,77,13,69.47826086956522,22.82857142857143,3,0,95
PM Nevill,49,800,32,1472,2,79,5,54.34782608695652,25.0,4,0,83
DJ Bravo,327,6646,249,7517,21,504,215,88.41293069043502,26.690763052208837,29,3,126
DJ Thornely,12,129,8,120,1,5,7,107.5,16.125,0,0,30
B Lee,114,1283,67,1784,22,112,36,71.9170403587444,19.149253731343283,4,0,67
JR Hazlewood,34,294,17,662,5,43,1,44.41087613293051,17.294117647058822,0,0,39
MA Starc,90,1572,57,2113,6,150,40,74.39659252247989,27.57894736842105,12,1,134
SCG MacGill,2,8,1,18,0,1,0,44.44444444444444,8.0,0,0,6
SE Marsh,195,7418,173,8963,9,750,155,82.76246792368626,42.87861271676301,61,8,192
BJ Rohrer,60,1121,40,863,4,89,34,129.8957126303592,28.025,2,0,64
CP Simpson,1,8,0,5,0,1,0,160.0,8.0,0,0,8
RE van der Merwe,71,1241,47,1143,4,94,47,108.57392825896763,26.404255319148938,7,1,137
SJ Coyte,24,287,15,343,2,30,3,83.6734693877551,19.133333333333333,1,0,51
FH Edwards,47,318,19,854,9,34,1,37.23653395784543,16.736842105263158,0,0,33
IA Moran,2,21,2,17,0,2,1,123.52941176470588,10.5,0,0,20
MG Hogan,7,41,4,39,0,2,2,105.12820512820512,10.25,0,0,13
NL McCullum,105,1418,78,1606,7,89,43,88.29389788293898,18.17948717948718,4,0,65
SNJ O'Keefe,38,395,28,689,3,41,6,57.32946298984035,14.107142857142858,0,0,48
BG Drew,2,15,2,25,0,1,0,60.0,7.5,0,0,10
DR Salpietro,2,13,2,27,0,0,0,48.148148148148145,6.5,0,0,12
DL Vettori,155,3613,108,4974,9,365,25,72.63771612384399,33.4537037037037,17,9,163
SM Harwood,4,12,1,23,1,0,0,52.17391304347826,12.0,0,0,6
TJ Armstrong,2,15,2,29,0,1,0,51.724137931034484,7.5,0,0,11
MR Day,1,29,0,22,0,1,1,131.8181818181818,29.0,0,0,29
JEC Franklin,128,2281,87,3061,8,172,52,74.51813132963083,26.2183908045977,9,0,98
NM Lyon,77,836,49,1724,8,105,5,48.49187935034803,17.06122448979592,0,0,40
DM Bravo,159,6251,140,11581,9,638,103,53.976340557810204,44.65,49,13,258
KC Brathwaite,49,2621,44,6088,1,239,3,43.051905387647835,59.56818181818182,22,7,216
KOA Powell,61,2085,59,3596,3,267,15,57.98109010011123,35.33898305084746,16,2,227
SO Hetmyer,29,644,26,765,3,59,17,84.18300653594771,24.76923076923077,3,0,75
SD Hope,47,2082,42,3412,0,171,27,61.01992966002344,49.57142857142857,16,4,170
VA Singh,3,63,3,199,0,4,0,31.65829145728643,21.0,0,0,35
RL Chase,24,1147,19,2263,2,113,6,50.68493150684932,60.36842105263158,8,3,170
SO Dowrich,11,524,10,1108,0,63,4,47.292418772563174,52.4,5,1,107
D Bishoo,39,568,29,1364,8,55,3,41.64222873900293,19.586206896551722,1,0,57
JO Holder,97,2306,79,3175,10,225,55,72.62992125984252,29.189873417721518,16,1,119
AS Joseph,13,117,8,219,1,10,2,53.42465753424658,14.625,0,0,27
ST Gabriel,33,135,19,358,11,16,2,37.70949720670391,7.105263157894737,0,0,20
Azhar Ali,110,6768,98,14402,2,622,30,46.99347312873212,69.06122448979592,54,20,304
Ahmed Shehzad,160,5144,153,7043,10,532,65,73.03705807184438,33.62091503267974,38,10,176
Babar Azam,92,4030,78,4747,3,373,51,84.89572361491469,51.666666666666664,34,9,125
Younis Khan,213,9586,189,16018,13,853,89,59.84517417904857,50.71957671957672,66,28,313
Misbah-ul-Haq,248,10356,192,17575,6,817,195,58.924608819345664,53.9375,87,14,202
Asad Shafiq,137,5281,121,9825,8,540,35,53.75063613231552,43.64462809917355,40,14,175
Sarfraz Ahmed,149,4953,107,5880,1,447,31,84.23469387755102,46.28971962616822,35,6,158
Mohammad Amir,70,1037,48,2198,6,108,15,47.17925386715196,21.604166666666668,3,0,73
Wahab Riaz,118,1260,82,1723,20,106,43,73.12826465467208,15.365853658536585,3,0,58
Yasir Shah,44,555,36,1057,7,59,6,52.50709555345317,15.416666666666666,0,0,41
Mohammad Abbas,4,10,2,84,0,1,0,11.904761904761905,5.0,0,0,4
TM Head,84,2522,71,2428,3,203,87,103.87149917627677,35.521126760563384,17,2,128
A Choudhary,3,25,2,20,0,1,1,125.0,12.5,0,0,15
Ishan Kishan,32,655,30,517,4,60,33,126.69245647969052,21.833333333333332,3,0,62
SK Raina,444,12884,363,12507,26,1173,365,103.01431198528824,35.4931129476584,93,10,120
RA Jadeja,269,5463,174,6339,13,436,145,86.1807856128727,31.396551724137932,25,0,92
SV Samson,88,2179,77,1709,5,166,89,127.50146284376828,28.2987012987013,12,2,102
KK Nair,70,1834,62,1722,2,200,41,106.5040650406504,29.580645161290324,10,1,303
SS Iyer,67,1939,58,1551,5,167,80,125.01611863313991,33.43103448275862,16,0,96
RR Pant,70,2076,60,1534,6,182,101,135.33246414602345,34.6,13,1,128
CH Morris,75,1155,50,1050,8,90,45,110.0,23.1,4,0,82
CJ Anderson,108,2762,91,3018,9,246,124,91.51756129887343,30.35164835164835,16,3,131
AR Bawne,1,12,0,12,0,1,0,100.0,12.0,0,0,12
SP Jackson,3,38,2,31,0,5,0,122.58064516129032,19.0,0,0,16
S Dhawan,300,10350,267,10905,11,1231,160,94.91059147180192,38.764044943820224,79,17,187
KS Williamson,263,12924,219,18602,7,1304,116,69.47640038705515,59.013698630136986,102,33,311
Yuvraj Singh,346,10011,287,10531,17,951,354,95.06219732219162,34.8815331010453,70,10,150
MJ Guptill,281,10503,247,13897,16,1132,266,75.57746276174714,42.522267206477736,80,20,245
M Vohra,45,1012,41,800,3,97,39,126.5,24.682926829268293,3,0,95
EJG Morgan,337,9818,275,10336,18,814,319,94.98839009287926,35.70181818181818,68,13,148
WP Saha,122,2871,95,3753,4,265,70,76.49880095923261,30.221052631578946,13,5,118
AR Patel,85,1028,56,884,8,57,46,116.289592760181,18.357142857142858,0,0,44
Anureet Singh,8,36,4,47,4,2,1,76.59574468085107,9.0,0,0,15
MM Sharma,36,156,18,194,9,14,4,80.41237113402062,8.666666666666666,0,0,21
I Sharma,116,770,66,2383,22,81,2,32.31221149811162,11.666666666666666,1,0,57
BM Edmondson,1,0,1,1,1,0,0,0.0,0.0,0,0,0
JM Muirhead,4,15,2,14,0,2,0,107.14285714285714,7.5,0,0,6
