Bowler,Matches,Overs,Runs,4,6,Wickets,Economy,Average,Strike Rate
L Ramjit,6,16.0,70,4,1,7,4.375,10.0,13.714285714285714
C Beckford,4,8.2,48,7,0,5,6.0,9.6,10.0
S Farooq,6,14.0,63,5,1,1,4.5,63.0,84.0
OT Wallerson,5,15.0,64,6,0,6,4.266666666666667,10.666666666666666,15.0
S Ramautar,5,11.3,68,7,0,3,6.181818181818182,22.666666666666668,23.0
U Iftikhar,3,6.1,45,5,0,5,7.5,9.0,7.4
G Kodali,2,2.4,21,3,0,1,10.5,21.0,16.0
E Ochieng,5,10.4,95,11,2,1,9.5,95.0,64.0
P Kerai,4,6.3,74,5,4,4,12.333333333333334,18.5,9.75
T Tshose,8,43.1,200,21,1,10,4.651162790697675,20.0,25.9
A Nortje,3,50.0,206,28,3,1,4.12,206.0,300.0
BC Fortuin,2,3.5,50,3,2,3,16.666666666666668,16.666666666666668,7.666666666666667
RRS Cornwall,1,10.4,173,22,0,3,17.3,57.666666666666664,21.333333333333332
TD Astle,5,39.4,178,13,5,4,4.564102564102564,44.5,59.5
I Muhawenimana,2,2.1,30,3,0,2,15.0,15.0,6.5
D Igihozo,1,0.5,10,1,0,1,2.0,10.0,5.0
A Ikuzwe,1,0.5,18,2,0,0,3.6,18.0,5.0
T Abdulquadri,2,5.1,25,3,0,1,5.0,25.0,31.0
F Eseigbe,1,1.0,17,0,0,0,17.0,17.0,6.0
M Desmond,2,5.1,37,3,0,4,7.4,9.25,7.75
B Etim,3,8.1,51,5,0,4,6.375,12.75,12.25
R Samson,3,7.3,41,3,0,2,5.857142857142857,20.5,22.5
S Sunday,1,0.2,11,0,0,1,5.5,11.0,2.0
R Oa,18,79.0,301,36,0,24,3.810126582278481,12.541666666666666,19.75
NM Ambo,8,20.2,82,10,0,9,4.1,9.11111111111111,13.555555555555555
V Araa,8,15.2,83,5,1,1,5.533333333333333,83.0,92.0
M Tom,14,48.4,186,23,1,11,3.875,16.90909090909091,26.545454545454547
S Jimmy,18,70.0,257,24,0,18,3.6714285714285713,14.277777777777779,23.333333333333332
K Oala,9,22.3,119,13,1,4,5.409090909090909,29.75,33.75
Jahanara Alam,40,166.4,662,82,3,41,3.9879518072289155,16.146341463414632,24.390243902439025
Salma Khatun,38,169.4,650,64,3,41,3.8461538461538463,15.853658536585366,24.829268292682926
Ritu Moni,13,28.1,117,12,0,11,4.178571428571429,10.636363636363637,15.363636363636363
Nahida Akter,16,58.0,276,24,2,27,4.758620689655173,10.222222222222221,12.88888888888889
Fahima Khatun,24,72.4,368,26,3,21,5.111111111111111,17.523809523809526,20.761904761904763
SA Wittmann,8,23.4,102,12,0,5,4.434782608695652,20.4,28.4
SN Shihepo,8,19.2,108,18,0,7,5.684210526315789,15.428571428571429,16.571428571428573
W Mwatile,6,18.1,81,10,0,5,4.5,16.2,21.8
I van Zyl,7,21.1,82,7,0,15,3.9047619047619047,5.466666666666667,8.466666666666667
Yasmeen Khan,2,3.0,24,0,0,0,8.0,24.0,18.0
MP Enright,1,0.2,18,3,0,0,9.0,18.0,2.0
N Vare,1,0.1,8,1,0,1,8.0,8.0,1.0
Khadija Tul Kubra,29,137.3,581,57,7,42,4.240875912408759,13.833333333333334,19.642857142857142
AG Rao,3,8.1,45,4,0,3,5.625,15.0,16.333333333333332
KA Green,3,8.2,61,6,0,3,7.625,20.333333333333332,16.666666666666668
V Hamunyela,4,10.0,56,6,0,2,5.6,28.0,30.0
V Frank,7,21.5,117,11,2,1,5.571428571428571,117.0,131.0
K Arua,14,56.1,208,16,0,19,3.7142857142857144,10.947368421052632,17.736842105263158
D Foerster,3,4.3,39,4,1,3,9.75,13.0,9.0
I Toua,1,0.2,4,0,0,1,2.0,4.0,2.0
